0,1,2,3,4,5,6,7,8,9,10,11,label,12,13,14
18518.5853003,-11835.5897473,4725.11418008,-4925.99636996,-6875.15191801,-1349.57628744,-6336.18647752,-5191.20401004,1641.06119836,17363.080249,-6505.42988745,-768.99277198,lazy_college_senior,1666.05489536,-5631.0394175,-2933.51054889
-18868.3737799,-11299.8267924,-8299.14593769,16686.3723554,2011.76644331,-3032.98588185,8615.28315484,-8688.71232631,1751.60830519,360.966104794,-1103.19881546,2896.3456189,advice_god,-665.931325651,-1525.38721002,278.019030993
-2912.52149544,11726.5523707,168.491166429,-4224.31040323,-2491.27659311,429.656616485,460.203082499,-2263.13012207,121.16216986,-6752.61469186,-8833.8840424,-4536.13972392,confession_bear,1555.0699229,-7213.27637157,4178.34463118
2260.49602642,-12406.3284752,1215.07115945,-2376.70216457,-5472.47816735,-1580.59700586,-6567.27574768,841.656748899,1122.59007568,4934.41106609,3552.96347382,3669.49060506,evil_toddler,-2008.27686043,-4265.90600502,-4008.02554212
-15045.0236387,-2057.53712417,-4785.3340152,-4021.50744963,10311.1570863,4305.69996959,4251.9678468,6788.55874247,-2455.31365365,9119.36376638,951.30177579,-4657.94500941,college_liberal,4064.90326585,-252.407752638,2163.81514391
-2873.68806999,11147.2872342,-8164.50154131,66.8197826649,-5497.99026905,17081.1179658,917.729457679,533.24983163,15562.8700935,-3614.26484985,2634.64596917,-1879.35731462,business_cat,837.496618327,1285.30918145,-4539.21560175
1563.46619308,-13827.1958686,1095.76350931,-1836.60399351,-5070.50910105,-879.109516416,-8449.66184765,1673.70169562,1239.05516568,6320.49889076,4119.80105954,3006.48020638,evil_toddler,-2420.75574103,-4750.24626077,-5382.6139577
34259.1270973,1913.75259595,-7141.43794726,6203.57060908,7992.93462162,3291.03513487,-3810.94828612,-1073.7217915,1875.40752937,2937.19544014,-1919.2729219,4140.26205583,unpopular_opinion_puffin,-2904.87288759,3619.68390638,6335.0863879
-18719.8913202,-10941.9392606,-7557.06007051,16257.5132769,1907.01553422,-2151.8433279,8326.25434522,-9525.53656541,2407.93592868,-16.710498193,-1801.81747565,3643.47764326,advice_god,-3444.40860229,-388.211941137,645.163561348
-10176.8281931,-4937.06911992,-560.667196763,3188.3793388,-9718.97005784,-4700.88317587,-7327.12913859,-1354.62436131,-3764.89271963,-1659.10057157,9166.09792441,8136.10073265,religion_pigeon,16396.4293,5128.37019092,2217.85986967
-17078.8752024,-8717.50948573,-1063.58158485,-574.488552378,1512.08116942,1804.72070175,-1777.57880373,3561.58775538,-2422.83568852,611.583666379,1379.48668008,-936.556217301,minor_mistake_marvin,-1218.78042414,-685.067815889,-5239.97389493
17094.320202,5291.19334023,-7576.34802,2440.97381968,-3327.81789733,-1536.21791875,-6876.25185181,1829.57191639,1811.34286359,2087.28243389,-2538.58146706,-816.108940214,good_guy_greg,-561.784476478,2876.1435304,3039.3713743
30393.3758962,-3800.10314637,-2207.72158539,4515.256141,9844.66824667,2191.70832385,-1187.98812939,-3206.81637537,-5016.19705913,-4559.01061913,-1129.03783721,-3606.25206702,bad_joke_eel,4665.914811,-210.756894763,-5902.22286917
586.416639128,13323.1443114,-5692.39896907,-3505.54282354,-5276.476838,1341.96829399,1184.79430909,-1580.81750048,319.421476145,-1054.6298005,-2644.95929286,7804.35582081,good_guy_greg,7021.82673714,-1349.88306051,3721.26203042
6412.48067791,20460.4206025,3225.71588398,-70.9047373931,-7987.04729706,229.421171365,3154.87314827,-7470.05291073,-8812.90405391,7025.8975359,2493.92473538,-3410.30278322,high_expectations_asian_father,-3398.9241779,6036.60650473,-2779.31018102
-1957.3635261,11864.1501562,20.8506983025,-2052.53336111,-3682.40190177,5234.65804818,4565.69944322,600.821429746,-6052.91252401,2982.26087614,1941.85204513,-149.419855455,philosoraptor,-1205.20092427,-4184.65783695,-652.702015998
-8378.6682251,4108.56426762,1970.87835497,-4902.81935089,-1616.36613986,-658.346748452,-1951.91230882,67.5453208478,815.794925697,-1197.28014504,-7137.26391729,-3225.52540261,confession_bear,-4640.10266026,-3778.26493973,-684.073689206
-2197.89953223,11403.3696593,-8164.51632169,198.253139472,-5467.26085749,17308.9664731,1344.78173128,1084.33634131,15903.0454052,-4943.01300526,4189.87100557,-769.50353567,business_cat,88.2342066613,2198.80288455,-4909.34909292
93.1558135644,-14165.7009831,1853.25842334,-2571.85717572,-5168.53815456,-1027.62903223,-6642.27052025,1863.11721634,736.565063841,3625.60057253,3529.57762262,4937.6494436,evil_toddler,-1849.72850221,-6185.6696354,-4482.66371204
11028.5504538,-17155.8036192,4821.60680968,-2302.3353901,-5874.56157411,-873.008844086,-8172.04024936,-1469.91405257,5290.42258762,6902.84843745,-3791.37204398,3902.52289613,lazy_college_senior,-831.048001544,-6566.28277129,521.984997767
-2479.22336696,1964.25163094,-1833.31218845,-1739.23129289,-4038.60750535,-656.40110594,-2256.41497429,-866.014693895,-948.550651304,-1409.90085186,-6070.22290518,-328.184521509,overly_attached_girlfriend,3409.49990892,7851.9437818,5739.22897911
-3011.83807816,11149.6789725,-8217.43601769,1647.58584499,-5354.23784359,16286.5224671,-654.63906583,1435.85349692,13338.402113,-3834.96113768,1761.15901551,-837.804338365,business_cat,306.598804195,1718.86758304,-5431.89805546
-20148.1803264,-15056.8459969,2988.01942931,-3277.36306107,-54.9576535217,2754.4137629,-3345.68175684,1623.99431756,-2389.95705105,-2232.80726239,-3049.94873155,-1197.58897225,first_day_on_the_internet_kid,-1053.86519197,5502.83698965,-17.1853382175
11680.7768945,-16776.6352904,4034.48393667,-4193.78017351,-4739.08675858,-94.4812525553,-9629.60410406,-2087.19361299,1476.03532412,15557.4223066,-5356.54169127,-1033.10023295,lazy_college_senior,-1129.28325758,-7065.72197764,-1255.15350153
18486.9294775,-13769.6369922,6778.91055449,-8973.03199111,-6673.69219084,-808.440481398,6791.39383862,-3353.21684318,4453.74454319,3296.10269142,-4384.63077503,2061.0692051,sudden_clarity_clarence,-79.3989807671,1009.41634915,1403.90771024
-2221.6854479,11572.8025164,31905.6923553,14796.9823211,1395.18223773,-1343.9386841,-2501.15358143,6217.07302569,4497.97966152,-1472.13275027,2396.55001379,-1025.50466478,socially_awkward_penguin,2336.94609497,-277.267586169,4157.79270664
-14259.686552,-4964.74158047,-135.723363944,-7630.12786405,5214.69867894,-4613.63328475,-1467.04285466,-334.783061169,-15.8626628215,1288.0097664,5319.07808531,1457.80943555,sheltered_college_freshman,-354.292525654,-2795.68864848,-1989.92511466
-3057.7965078,12062.4927499,4809.83345066,-8590.0402647,9241.77224767,-7902.99086963,2948.44582241,697.011470603,3708.1260169,-2413.50732509,-4334.8930892,10273.0900867,bad_luck_brian,-181.762257044,-278.182589884,-6257.65866728
15824.4462913,642.368401437,-14623.668886,6722.81678105,-6995.06324828,-16249.2515883,2551.45295065,16281.6566311,444.439283687,-1969.82482138,200.030463455,-5234.04029309,paranoid_parrot,-1876.29862854,-400.270903701,-359.797824784
-4216.95114908,7287.15009212,28538.531225,13303.8770744,1647.29898995,-1100.17811769,-1169.79348784,4848.02101116,2493.99214565,-506.764518392,990.316620108,-2071.09055595,socially_awkward_penguin,1529.36904538,-1375.09162268,1510.49678442
-13719.5781438,-6038.09914088,-50.5294328776,19.9093043114,-2117.77997553,-3230.42936685,-2792.61801205,-397.866704384,504.847673006,3338.20186917,920.300415388,-1249.15706541,overly_attached_girlfriend,1039.19221171,2107.68665369,5447.64102176
-8442.79901955,-11508.2895969,5144.15775901,-7711.93214705,-6404.42715933,-1115.4037677,-2649.99315814,5967.70942228,-5050.4754448,-3246.10726187,3921.7387287,7306.26671401,minor_mistake_marvin,-2512.84367882,-2495.42944882,-4736.76637223
-494.430096501,-6671.57713405,-3059.33760928,3231.70244811,-4020.46845392,122.275109198,-5103.18286567,2023.23874313,737.644809881,13.5032542748,896.849909677,-322.973925418,evil_toddler,-538.727817722,1800.21972947,-1031.89693471
-4479.54216295,8594.0921506,-7050.3467481,1550.22207066,-5526.81607769,15120.466417,-2371.19976751,1828.86886796,11652.0587145,-2859.65355535,2657.32764546,-443.780150641,business_cat,-1877.26150116,764.449618368,-6948.2277798
-11335.526909,1739.6892429,-3348.7763213,-9383.31668131,9291.71790443,-9604.81731329,-7291.10515744,-8310.17258995,4760.43745842,-4050.3504673,9968.69220814,-5236.77169404,sheltered_college_freshman,-3648.14111942,-173.391210298,3250.62969977
2031.34216452,20805.8919845,-127.567482458,-711.905785996,57.0081613146,-894.669760253,2038.50567088,-6165.55941179,-5433.02304916,3411.78164365,-2820.14114581,-3786.40776703,high_expectations_asian_father,-4080.42638134,6537.02788449,-2849.53955839
