0,1,2,3,4,5,6,7,8,9,10,11,label,12
18518.5691591,-11835.1763064,4723.04531571,-4923.06318251,-6886.6415071,-1300.33750195,-6376.56038539,-5184.47689675,1696.06831993,17359.3714032,-6441.66475992,-328.089537722,lazy_college_senior,1580.24319952
-18868.3817466,-11299.9026933,-8298.82422225,16686.8402136,2013.37938715,-3038.28606155,8618.48572226,-8683.13762318,1735.22285391,382.154034458,-1100.28928449,2838.54588131,advice_god,-703.753674388
-2912.54865182,11726.6144436,167.650281227,-4221.16220243,-2490.22361265,431.19151189,474.59909652,-2305.90404664,217.35615945,-6775.10055246,-8974.53004916,-4233.03905141,confession_bear,1464.30432617
2260.5061186,-12406.5834872,1215.68661393,-2378.0753644,-5464.40078714,-1620.97962082,-6548.13252629,842.311379686,1031.1734104,4894.48424962,3460.14816397,3563.37265772,evil_toddler,-2072.61826598
-15045.0152772,-2057.66487608,-4783.99336065,-4017.23973259,10313.5829681,4299.97893789,4197.62760964,6768.5301827,-2539.2659516,9116.52031365,904.563936964,-4817.63318932,college_liberal,4089.82066548
-2873.68503487,11147.5227537,-8168.13144192,58.5750663018,-5504.10803121,17091.469671,963.603094968,598.912840869,15589.1209617,-3570.9131223,2597.59002514,-1630.19607573,business_cat,757.736630614
1563.47159883,-13827.2594558,1093.6614813,-1841.59276509,-5067.96448909,-907.09893751,-8411.97523861,1699.95132536,1156.93316404,6231.78062254,4019.20949206,3083.05877238,evil_toddler,-2629.94257081
34259.1424184,1913.14228093,-7143.79097869,6196.69803334,7995.85742153,3227.99450543,-3794.32176294,-1044.023602,1718.48019212,2883.87135518,-2075.87055416,3997.41850501,unpopular_opinion_puffin,-2795.25950801
-18719.8941935,-10941.984096,-7557.18663442,16256.7902108,1908.96883851,-2154.96488172,8347.47496131,-9519.44081854,2410.17860155,9.8586656073,-1791.14283099,3628.77373844,advice_god,-3476.93558939
-10176.8353789,-4936.97170201,-562.732855542,3186.30808979,-9725.8926825,-4685.24270632,-7292.63635871,-1323.51075018,-3706.67863121,-1779.18909462,9029.79525105,8433.31475841,religion_pigeon,16277.6606064
-17078.877377,-8717.16365455,-1062.49694537,-572.174016157,1509.21580688,1837.04679547,-1802.44138405,3547.51543602,-2326.62370925,619.714177388,1504.32605097,-787.437896505,minor_mistake_marvin,-1024.84048608
17094.3444727,5291.45331814,-7574.59834682,2430.90852761,-3328.40194093,-1532.41163485,-6871.12731084,1841.31477434,1797.64204398,2185.68984788,-2423.44783146,-1014.17055165,good_guy_greg,-237.182607086
30393.3507049,-3799.19575089,-2203.48981369,4525.50050809,9845.55663513,2272.96063016,-1185.61598311,-3301.07842851,-4704.66701437,-4581.40201826,-1141.52946951,-3245.56701547,bad_joke_eel,4785.19037732
586.429413965,13322.6891709,-5688.56318786,-3502.57491264,-5267.85244356,1308.57061465,1136.76167348,-1614.76886543,264.04958548,-955.733057451,-2604.99396894,7307.64626186,good_guy_greg,7293.24280923
6412.46733999,20460.6658977,3226.60685628,-65.175261253,-7994.84373672,232.536119409,3073.29330714,-7533.85112237,-8741.84845216,6963.59114145,2454.69081206,-3257.9316661,high_expectations_asian_father,-3421.3713569
-1957.344154,11863.9375595,18.8620475865,-2059.30339073,-3684.18479832,5217.56780512,4599.30824941,658.33356589,-6191.34679808,2868.51790963,1888.87457046,-244.567536672,philosoraptor,-1281.59536049
-8378.67080282,4108.34259938,1968.02606566,-4903.24177577,-1618.76666054,-672.014300398,-1958.88427106,127.186257667,788.198325199,-1260.87636534,-7179.00953266,-3054.35265642,confession_bear,-5069.26488503
-2197.90381651,11403.2960523,-8164.79326752,194.481974442,-5470.75728386,17302.865176,1365.48092116,1113.49485248,15912.5773049,-4803.96264156,4181.74961171,-710.677569317,business_cat,100.439420387
93.1543982385,-14165.8849286,1854.3480534,-2573.92775663,-5161.7741749,-1067.58040889,-6624.19932505,1865.41156727,647.385092958,3594.88712637,3477.49992707,4816.96893085,evil_toddler,-1973.38650587
11028.5248986,-17155.4805264,4824.68892061,-2290.99642598,-5870.76278216,-857.253215518,-8198.221762,-1510.88572231,5387.58592718,6913.4188701,-3773.09406847,3938.08802984,lazy_college_senior,-918.667177219
-2479.27066198,1964.6666442,-1827.82353624,-1729.09842148,-4039.57589274,-636.429934718,-2290.25706851,-956.221433206,-767.810052618,-1323.4236752,-6098.30516839,-193.248157873,overly_attached_girlfriend,3626.39334373
-3011.84064263,11149.8268244,-8218.50741298,1648.85782236,-5361.13796488,16299.7599038,-662.996974971,1458.69818736,13419.9834146,-3791.12111648,1705.65087363,-626.003313149,business_cat,171.289682773
-20148.1646835,-15057.2421094,2990.4437249,-3276.93103686,-44.9375512533,2715.58160648,-3351.33157229,1563.44519305,-2414.84335683,-2201.34765788,-3089.42870023,-1416.87962655,first_day_on_the_internet_kid,-958.063960969
11680.7605149,-16776.1555387,4030.90417536,-4194.48094901,-4755.66156306,-38.878750455,-9660.99773095,-2062.18687898,1504.91923629,15604.1865566,-5131.37313923,-536.386013559,lazy_college_senior,-1408.81627513
18486.9427543,-13770.2739938,6780.13385353,-8979.26661976,-6668.61372689,-871.42925613,6762.29869942,-3310.83831564,4228.80885065,3425.06677428,-4113.52293695,1760.79335503,sudden_clarity_clarence,-21.4226059182
-2221.66991298,11572.8327868,31906.2439559,14793.8459236,1394.51064777,-1342.03555262,-2496.64189195,6235.21489677,4468.34528564,-1394.12033189,2465.73353821,-1217.43244405,socially_awkward_penguin,2529.66827925
