0,1,2,3,4,5,6,7,8,9,10,11,label,12,13,14,15
18518.6048453,-11835.6634099,4723.73274699,-4928.72393443,-6878.8970126,-1338.65369599,-6293.1745491,-5178.55011068,1488.81131015,17306.2028809,-6484.61354899,-699.796036354,lazy_college_senior,1545.78251653,-6208.15219866,-2548.97881977,-2614.35787087
-18868.3856979,-11299.8017976,-8299.28514324,16684.162875,2008.41974234,-3032.24357695,8605.79369944,-8683.2804765,1735.53132323,392.14252028,-1108.28543623,2853.79885071,advice_god,-581.638824863,-1642.72307828,505.07822971,-798.403831747
-2912.54388451,11726.8329101,167.859688591,-4227.30151597,-2493.06450842,439.102787231,461.777599922,-2246.781946,237.221342109,-6740.85966538,-8828.79673896,-4628.91609361,confession_bear,1194.12377992,-7002.07964198,2624.85202634,5934.60077817
2260.49061409,-12406.3086403,1215.25075842,-2376.23808732,-5468.39860166,-1600.07944466,-6605.25933344,825.665354259,1095.63137624,4980.20182975,3445.66133497,3609.7295419,evil_toddler,-1937.48913888,-3850.67986135,-3518.8163211,-967.03298378
-15045.0037371,-2057.74791186,-4783.98265028,-4019.19962256,10317.3942184,4288.27361435,4221.50610813,6766.29327384,-2603.36579664,9122.61962683,1013.38356674,-4998.94547937,college_liberal,3939.25407672,-196.16867188,2360.90203562,981.00620923
-2873.68672265,11147.4763075,-8165.55245818,65.4010669558,-5497.48899212,17101.096228,949.328961005,550.597034015,15609.8372743,-3486.16390225,2659.78292264,-1619.1025823,business_cat,685.859979954,1293.23819254,-4934.15969223,-785.866947745
1563.46804361,-13826.9641639,1095.60798419,-1835.45604367,-5061.30574068,-890.979973232,-8468.40453856,1670.93716933,1200.38332345,6323.77412821,4043.47157064,3184.09899396,evil_toddler,-2522.79873737,-4205.63701453,-5215.61033861,-1455.62417017
34259.1518215,1913.6452569,-7138.99490304,6203.72970131,8005.87704476,3280.32404342,-3840.56714033,-1095.43432149,1765.8563683,2953.47922438,-1884.73728358,4034.65428528,unpopular_opinion_puffin,-2590.23165118,3699.20064595,6814.38482595,1155.42582799
-18719.8951798,-10941.9331865,-7557.2282617,16256.1727035,1907.06489967,-2153.11453953,8324.78767288,-9526.69495257,2415.22830559,19.4816495783,-1846.65091592,3718.58131226,advice_god,-3348.32846125,-176.56725819,860.160071276,-506.351264712
-10176.8309518,-4937.00169238,-561.390977588,3186.58277927,-9727.05487201,-4679.02655794,-7285.71473201,-1310.30343927,-3700.9173663,-1747.79542095,9016.28102935,8041.33226352,religion_pigeon,16746.3857045,4415.31856703,-1050.52696644,12432.0504708
