0,1,2,3,4,5,6,7,8,9,label
18518.5173414,-11833.4498916,4723.93917022,-4926.18629488,-6866.84056407,-1392.04432365,-6190.97636901,-4957.20856694,544.361200178,17060.5729928,lazy_college_senior
-18868.3781343,-11299.6982343,-8296.42587923,16687.2511408,2016.7974583,-3038.48961154,8607.62322188,-8640.42527226,1717.05572946,424.674411125,advice_god
-2912.5556634,11726.1704187,157.908019726,-4220.54936554,-2515.2324765,460.610849504,514.423272587,-2504.03310136,461.157663213,-7000.39627221,confession_bear
2260.50140991,-12407.1992407,1215.25503942,-2375.68243755,-5488.2408397,-1593.0985531,-6590.41310683,711.162981108,1045.25659467,5097.09889228,evil_toddler
-15044.987295,-2058.15284418,-4786.20023123,-4022.70744863,10315.5802584,4317.32444342,4206.80274034,6698.99364505,-2872.0727005,9067.68528725,college_liberal
-2873.73929681,11147.9778414,-8163.12808626,64.9649085149,-5513.36875504,17066.6939083,991.555879262,666.144265088,15689.771028,-2933.54322161,business_cat
1563.44187599,-13827.5350423,1091.42678777,-1838.20935035,-5085.53847386,-890.558874036,-8410.73508216,1580.83766257,1020.86911291,6370.5708871,evil_toddler
34259.149692,1912.90837467,-7136.67258962,6204.94506528,7979.94802396,3285.46080536,-3867.95413844,-1062.40963314,1889.08289729,3135.8910842,unpopular_opinion_puffin
-18719.8952794,-10941.887133,-7555.96242104,16258.0571514,1907.35993867,-2159.41597367,8332.94620714,-9515.03254716,2424.44590372,113.657241591,advice_god
-10176.8054385,-4937.93768684,-567.48229256,3181.52699294,-9728.83085378,-4628.95404308,-7343.27836348,-1503.20823595,-3442.62480772,-1827.76881598,religion_pigeon
-17078.8911233,-8716.78228889,-1066.09620303,-572.430098702,1518.19039236,1802.68659734,-1708.03160531,3598.06353963,-2620.13807886,300.018194533,minor_mistake_marvin
17094.2944519,5292.36371451,-7575.91158286,2439.60409089,-3305.53150992,-1534.83893067,-6829.56363689,2062.99990411,1504.1097514,1953.53992238,good_guy_greg
30393.3201284,-3799.28045428,-2218.75501577,4516.96587742,9840.82336111,2220.66960738,-1070.06175993,-3358.47736466,-4793.84728471,-5031.08342372,bad_joke_eel
586.451592345,13322.9207556,-5685.18139236,-3504.29681222,-5253.74846588,1318.11342959,1097.80383209,-1486.62852432,388.845537536,-860.751084437,good_guy_greg
6412.45080706,20460.2916226,3232.17803466,-75.8089720163,-7989.93474631,206.318037825,3132.40879755,-7394.96554799,-9113.00961403,6650.24711728,high_expectations_asian_father
-1957.33443579,11864.1441193,21.3023417988,-2054.24161107,-3674.88233792,5244.65466269,4550.71465066,604.155849834,-6205.73129768,2663.17207317,philosoraptor
-8378.5903591,4106.78577993,1968.89647424,-4909.26250289,-1640.09500663,-642.907740266,-2054.14823111,-164.961583104,1116.64188396,-852.788579053,confession_bear
-2197.95131062,11403.4636566,-8163.36266918,198.068079818,-5484.63717918,17303.6167472,1381.76900489,1130.27646347,16108.2631473,-4232.7743371,business_cat
93.1409143608,-14166.3691289,1852.68083355,-2575.32659123,-5175.48933285,-1033.51482206,-6654.66170441,1788.5647431,647.159179709,3716.26182126,evil_toddler
11028.5835388,-17156.492167,4825.40868382,-2304.58124688,-5870.15754506,-861.771700151,-8211.44664051,-1552.18263357,5098.2986335,7297.42858375,lazy_college_senior
-2479.27236007,1965.53154977,-1834.27548706,-1741.02738454,-4030.52803893,-654.778317299,-2192.54175756,-766.249840675,-994.646458245,-1604.51077208,overly_attached_girlfriend
-3011.84898075,11149.7489211,-8216.03820943,1645.97618572,-5364.05232259,16285.2511159,-635.373095127,1482.25330129,13541.8094903,-3212.61150428,business_cat
-20148.204894,-15057.2579035,2996.44470066,-3268.46276872,-58.4603206107,2718.6895417,-3413.3941304,1612.45604733,-2143.95174235,-2140.13440784,first_day_on_the_internet_kid
11680.6989379,-16774.1750857,4034.75600204,-4193.09058588,-4726.87070647,-133.45565551,-9481.09092818,-1766.71794717,376.133233846,15254.5212947,lazy_college_senior
