0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,label
18518.5928266,-11835.4331621,4723.40666006,-4931.35963664,-6881.17297502,-1334.47800486,-6318.13068595,-5167.6319288,1569.2630151,17285.5687467,-6478.1117596,-578.426319681,1583.17522982,-5745.77420485,-2714.77931376,-2420.20424794,5039.75442287,-5664.56879502,2923.29118901,4710.30462456,1465.07524385,6506.70768115,-7767.07352203,-195.356474035,1693.95349636,2268.9297411,lazy_college_senior
-18868.3759667,-11299.8216615,-8299.25243676,16686.9345685,2011.76733842,-3035.39909449,8609.47438086,-8685.15496381,1742.37908116,377.235631665,-1097.86961231,2831.98344873,-614.836780462,-1545.31977278,578.577796346,-707.848231446,854.275862904,-1027.24148141,881.396282654,862.027770841,-721.159590687,630.580134149,634.347689923,439.738838318,-499.068407517,-1350.48579778,advice_god
-2912.53274894,11726.7072712,167.960812636,-4223.79961854,-2490.31755099,438.857720662,482.451101153,-2265.83433016,189.699884471,-6747.28583713,-8833.94011111,-4520.76045348,1473.40392991,-7245.79479649,2569.57618552,6164.77933299,-498.264126583,1649.62632457,-28.5956038017,2679.94862732,208.795132847,-2218.76874713,2527.98629303,-1142.32568835,-5884.38864209,-839.951659041,confession_bear
2260.49842746,-12406.4001313,1216.11530251,-2375.12616131,-5465.89596534,-1600.58003297,-6581.7176612,824.931525066,1089.01475491,4969.53900171,3510.29807681,3663.96543604,-1936.75167488,-4222.43961368,-3368.2761167,-963.694558519,-4133.14759768,1616.87820712,-1660.16153584,-3703.66986851,-483.851238629,-1814.32912436,3470.89980491,549.269299881,-2397.19587629,-374.321726572,evil_toddler
-15045.0091803,-2057.7156216,-4784.04601566,-4020.44020388,10314.5395248,4288.60556338,4219.15365869,6772.27701917,-2558.03305137,9143.73346524,1005.32086135,-4915.37106978,4038.45482701,-233.020878999,2347.03886419,958.762953397,-2852.75797674,-1197.38563404,-425.836267379,-671.004777082,2676.97205926,113.812572474,471.379737432,85.1743296269,985.741687859,6.69286831512,college_liberal
-2873.6936819,11147.4872227,-8166.18983875,63.4122858855,-5505.14871631,17101.4963747,945.980356311,559.440646303,15608.990095,-3542.7859306,2638.06652448,-1675.57166965,695.658209029,1239.40642707,-4786.84811385,-877.932135284,3072.88372277,-2775.38786293,1422.9392713,-3463.38830882,2132.91513314,34.4592941429,-3401.68439769,1709.91919318,-432.368718591,1208.01045766,business_cat
1563.46350874,-13827.1130194,1095.20128978,-1837.19190777,-5071.12594574,-886.735288332,-8449.83062377,1678.56039165,1215.02090759,6336.21270747,4081.27715501,3153.13264146,-2473.34412851,-4782.43997911,-4932.35786399,-1491.50859559,-5405.62471583,991.326681958,-1602.53040375,-5173.69073771,-2112.12007324,-3885.68683935,-856.379814396,2647.66616497,-1154.4342195,1586.36148011,evil_toddler
34259.1496469,1913.51361538,-7140.23308886,6203.2144531,7997.67895477,3276.41751019,-3847.91195218,-1080.05908549,1816.37530001,2969.789731,-1894.90042054,3896.47298163,-2744.21440093,3610.86738558,6736.96484891,996.399620564,2969.44447592,606.50755848,633.692294859,-3727.89719837,5244.05894172,-5705.43968307,4207.80461804,4834.66967036,-5920.20684489,-6756.96045001,unpopular_opinion_puffin
-18719.8935244,-10941.926442,-7557.05898097,16256.5813874,1907.28743467,-2152.30710715,8333.44043111,-9526.22809815,2412.61443095,18.0401012237,-1838.81034473,3662.53741502,-3406.77074172,-362.592146734,987.71207677,-437.56214601,-1799.63480857,-558.720554984,-997.077765594,166.466303891,-3608.18583148,-219.422612301,203.484295686,80.2929449903,-1018.94617532,2115.64185504,advice_god
-10176.8340014,-4936.91517915,-561.78818209,3186.6262203,-9724.67700811,-4681.04951485,-7292.82239004,-1329.14701152,-3706.39837429,-1742.73745389,9130.06294598,8181.95330319,16461.8124909,5076.71159091,-1139.41314502,12323.0684582,1361.66057826,-4012.91258727,-2846.57160382,2396.66248005,1.24510806248,-2582.97946432,311.491352038,2091.79190734,-857.338681445,-512.458517162,religion_pigeon
