0,1,2,3,4,5,6,7,8,9,10,11,label,12,13
18518.6497515,-11835.1461651,4723.84348791,-4935.74580045,-6896.91560196,-1311.06770728,-6281.93062911,-5179.57256954,1561.11254933,17311.0134836,-6514.5821887,-219.903272006,lazy_college_senior,1699.54050835,-5870.25648577
-18868.3740977,-11299.789771,-8299.21048826,16687.0970083,2011.59873951,-3035.59997395,8610.08577428,-8693.90108522,1745.65827406,378.29693179,-1075.27492494,2879.08765949,advice_god,-528.383622026,-1564.75081193
-2912.52153387,11726.7201304,167.317618041,-4224.90655873,-2491.90305728,438.544800746,471.78400137,-2276.43188654,183.981926637,-6763.77559406,-8860.29423427,-4472.64838399,confession_bear,1463.22708059,-7208.73699018
2260.46887169,-12406.6000978,1215.25085942,-2372.45416585,-5460.73741489,-1607.81586618,-6599.08746637,822.761362764,1089.72892152,4963.97356566,3546.25996194,3524.95307523,evil_toddler,-1940.36718082,-4096.1968413
-15045.01829,-2057.82329983,-4784.22665384,-4019.76718433,10314.903347,4287.30509955,4225.97698069,6765.60984425,-2548.70478706,9152.7691596,1012.56518216,-5071.44840749,college_liberal,3808.69711135,-196.933307332
-2873.69291533,11147.5644423,-8166.11494318,66.5523492343,-5505.19681929,17103.6155016,959.678801494,551.531570736,15632.1283915,-3530.25029279,2631.06651284,-1710.06075891,business_cat,618.623613923,1269.32467899
1563.43633555,-13827.001876,1095.60902425,-1833.76401694,-5067.48803602,-894.62020997,-8467.69753273,1709.72126679,1218.24126444,6305.9509905,4073.41056902,3018.54495638,evil_toddler,-2389.01463571,-4696.6353326
34259.1745055,1913.7613821,-7139.73141779,6205.54423094,7990.94663259,3286.79766873,-3828.43684515,-1075.65683262,1842.74524225,2973.52080689,-1907.41296363,3974.53440833,unpopular_opinion_puffin,-2554.0594829,3585.13224019
-18719.9102574,-10941.9579445,-7557.36992972,16256.8199598,1910.72204507,-2159.78859038,8307.5595273,-9512.9184688,2406.40219147,3.2888056149,-1846.02914773,3680.73229297,advice_god,-3278.95167107,-319.007758259
-10176.8207899,-4936.89477488,-561.542794274,3185.62016556,-9727.61811825,-4674.53867345,-7285.66541438,-1333.91579698,-3708.40900997,-1737.27044733,9207.50805492,7849.03885321,religion_pigeon,16748.2237424,4866.22676305
-17078.860039,-8717.55427863,-1061.9668995,-577.036766196,1503.04969196,1840.49624001,-1749.85540309,3573.15437201,-2402.47860179,554.809386293,1346.80266878,-560.035415089,minor_mistake_marvin,-1075.76626815,-1001.37072351
17094.3348497,5291.64117388,-7575.58685816,2438.95673825,-3336.22909188,-1513.28887101,-6914.62785354,1891.3811584,1782.6421694,2038.04873246,-2680.90724381,-997.430151163,good_guy_greg,-411.187231837,2833.49227285
30393.3138677,-3800.01457738,-2210.73010053,4520.40380224,9850.52603383,2228.74643708,-1138.86887134,-3245.13037119,-4872.61565445,-4663.40060565,-1223.22343946,-3547.36967751,bad_joke_eel,4360.04361129,-171.077460368
586.435274814,13322.8676474,-5690.03321343,-3500.73736994,-5267.62355447,1319.57725464,1129.29565011,-1600.65674463,284.511920999,-995.526013379,-2561.90843796,6801.12369791,good_guy_greg,7535.07411041,-1259.81834822
6412.50540431,20460.4415535,3227.54657895,-68.2136961241,-7993.87413383,223.117830921,3159.61091264,-7465.13434674,-8858.8425031,6991.08649984,2466.1870646,-3208.85121194,high_expectations_asian_father,-3571.6266006,6004.6368891
-1957.35162367,11864.1734998,20.9910363141,-2055.50270372,-3685.46603547,5240.55200262,4556.45476238,609.666988377,-6099.81804783,2910.79427368,1962.24347872,-51.1300744941,philosoraptor,-1173.53523461,-4234.88601035
