0,1,2,label
18518.4247944,-11829.4110668,4656.6401099,lazy_college_senior
-18868.2951327,-11298.7099636,-8308.4150345,advice_god
-2912.5123969,11729.7321195,137.963658637,confession_bear
2260.19043598,-12407.3598749,1203.73222682,evil_toddler
-15045.0266114,-2056.6038939,-4767.4436416,college_liberal
-2873.88143232,11147.26608,-8173.6573827,business_cat
1563.07487035,-13828.8300236,1091.73916034,evil_toddler
34259.6136439,1913.50816663,-7110.90001179,unpopular_opinion_puffin
-18719.749652,-10942.1332415,-7549.42042901,advice_god
-10177.3335488,-4940.00807745,-595.40638976,religion_pigeon
-17079.1512879,-8717.5304568,-1093.65342194,minor_mistake_marvin
17094.6935342,5291.54791286,-7569.74302818,good_guy_greg
30392.8549291,-3801.66697657,-2231.52457719,bad_joke_eel
586.857778106,13323.2842906,-5670.84357074,good_guy_greg
6412.42312525,20458.7955006,3237.66390661,high_expectations_asian_father
-1957.48866552,11864.2614543,9.2629261167,philosoraptor
-8378.86295656,4108.33711063,1961.87433024,confession_bear
-2198.1292677,11402.1175419,-8178.62240915,business_cat
92.8159980564,-14166.1517164,1833.78364987,evil_toddler
11028.4951907,-17151.4793685,4760.62437774,lazy_college_senior
-2478.74034924,1964.21043535,-1832.93837773,overly_attached_girlfriend
-3012.11470759,11148.2018951,-8234.1729456,business_cat
-20148.0094365,-15058.9765934,3006.5556679,first_day_on_the_internet_kid
11680.7406932,-16769.0382481,3968.54905672,lazy_college_senior
18487.0540919,-13769.4547531,6760.56382238,sudden_clarity_clarence
-2221.46497347,11574.0260614,31925.9488747,socially_awkward_penguin
-14259.9772718,-4964.94583968,-161.402605929,sheltered_college_freshman
-3058.02316041,12060.3835524,4773.81393904,bad_luck_brian
15824.4751072,643.358761785,-14617.6210629,paranoid_parrot
-4216.80344614,7288.69873956,28551.5700834,socially_awkward_penguin
-13719.4944696,-6038.13207906,-42.428739923,overly_attached_girlfriend
-8442.96982017,-11508.7118282,5127.04080651,minor_mistake_marvin
-494.419081699,-6671.37542219,-3071.34324951,evil_toddler
-4479.92487589,8592.21068888,-7068.81970252,business_cat
-11335.4714962,1740.50229724,-3340.98805847,sheltered_college_freshman
2031.19535202,20803.8179568,-123.10645137,high_expectations_asian_father
-3794.11118685,11733.8081886,229.394503667,confession_bear
-14949.0148735,-1185.73342341,-5228.45098754,college_liberal
-11302.1328012,1561.6954931,-3454.56688726,sheltered_college_freshman
-11397.6375101,1545.81928117,-3195.09071224,sheltered_college_freshman
-4203.21922749,6240.90619211,28871.3866978,socially_awkward_penguin
15214.7095634,1151.49665373,-12872.9535593,paranoid_parrot
32887.436687,-5450.83115467,-1935.91144553,bad_joke_eel
-20387.4863122,-15869.4475188,2965.54338617,first_day_on_the_internet_kid
31210.6880946,-4484.73046793,-2955.41493239,bad_joke_eel
1365.47036397,14081.0804155,7655.00676265,bad_luck_brian
10582.9378165,24976.4478414,-857.516827005,high_expectations_asian_father
-2383.96845396,15442.118612,2531.85773952,bad_luck_brian
-14677.4857553,-1700.0450525,-5033.3617352,college_liberal
2499.84657718,18626.9559549,2731.41449803,high_expectations_asian_father
-18473.1516794,-14823.0250969,964.352898067,overly_attached_girlfriend
-19263.2851109,-11493.9371061,-7411.49227057,advice_god
-2778.78702437,11557.6080804,-37.168251988,philosoraptor
-2145.29831049,10732.1571578,1384.88647779,confession_bear
-18118.9067562,-11245.5311185,-323.318607433,minor_mistake_marvin
-899.635318761,10635.6272588,-191.913051017,philosoraptor
7958.21926595,21341.7153594,2842.77729252,high_expectations_asian_father
32787.2651199,-2323.27365487,-4680.66072686,unpopular_opinion_puffin
21062.4730638,-9836.01453074,2351.28004491,unpopular_opinion_puffin
-11783.3881217,727.053442934,-2659.10653032,sheltered_college_freshman
225.913647308,12737.7175639,-6205.02038429,good_guy_greg
-14638.5574719,-1362.07035673,-5249.57320423,college_liberal
-14815.4988412,-2288.52528885,-4897.6987312,college_liberal
24905.6198661,-3679.79458497,-3919.61117681,unpopular_opinion_puffin
-14686.0478287,-764.825054477,-5205.62248859,college_liberal
-19418.5414229,-11744.7299185,-8383.24876219,advice_god
-2318.54182702,12236.2497524,-2.9100962256,confession_bear
-17707.768341,-8902.40001068,-7839.05736874,advice_god
16909.0485854,-13115.6487215,5365.91482688,lazy_college_senior
-5754.11742671,6784.9420711,29202.9197774,socially_awkward_penguin
-2817.19767112,7158.42197851,3037.99530188,confession_bear
33721.7529332,-6388.98845791,-146.376312431,bad_joke_eel
-2998.22788614,14459.4539219,3102.44191771,bad_luck_brian
-3536.60862417,7525.34436138,-6451.15332662,business_cat
-15185.3104553,-3919.50093212,-3252.44859033,college_liberal
2432.29337482,-13640.7385472,1700.37929302,evil_toddler
-1132.00184486,16307.8009755,3759.02596643,bad_luck_brian
5629.06864184,20143.5880432,2994.89602531,high_expectations_asian_father
-19047.3898771,-13625.6971111,801.198945685,minor_mistake_marvin
4558.37517856,-11062.0894023,3410.16982657,evil_toddler
-3193.17739518,10030.9131217,746.942054695,philosoraptor
-17810.4524442,-11984.3804954,2821.98363954,first_day_on_the_internet_kid
21498.2203608,-18926.1238977,9469.95972142,sudden_clarity_clarence
-3365.21091647,12068.248845,-496.631636167,confession_bear
29435.5807081,-1964.61811276,-5625.77735971,unpopular_opinion_puffin
34628.2784028,-6603.1194241,-1685.99305465,bad_joke_eel
31755.7851799,-5883.67585343,-2535.5948408,bad_joke_eel
-3592.24320447,15218.7172617,3419.08762829,bad_luck_brian
-19285.4641097,-11869.3989902,-7697.82245972,advice_god
