0,1,2,3,4,5,6,7,8,9,10,11,label,12,13,14,15,16,17,18,19,20,21,22,23
18518.5952308,-11835.4643351,4723.86456311,-4931.55450687,-6884.46284371,-1332.8529713,-6316.31407434,-5164.7966387,1573.25665508,17295.172747,-6507.83357563,-575.358384311,lazy_college_senior,1633.43551133,-5757.45267696,-2697.81389828,-2510.29184628,5164.3588591,-5605.72276624,2822.35035506,4799.38260278,689.597834744,-7370.14041676,-6951.84915715,-1697.55424671
-18868.3776692,-11299.8315845,-8299.38337497,16686.599899,2012.91589913,-3035.46887565,8609.11148765,-8684.40411402,1739.14653264,368.868382032,-1087.21264071,2840.21472768,advice_god,-620.997359512,-1547.20025159,536.693521151,-708.70365372,819.862847306,-1001.06712297,897.105245146,740.851460267,-654.256620875,-400.302684307,483.689467238,696.851899778
-2912.53356941,11726.6977965,168.003505808,-4223.6528786,-2488.44981114,442.271004768,474.503951437,-2267.04022337,192.2304433,-6755.14529197,-8819.99986765,-4515.0651583,confession_bear,1470.27138222,-7246.12563726,2552.17663071,6157.42387082,-601.220552819,1458.70498091,-124.403895967,2817.57244044,651.989748997,2499.50372535,1253.36631839,305.566465699
2260.49875309,-12406.4335619,1216.02444137,-2374.26187174,-5465.95312192,-1598.26771715,-6587.40826289,822.4987178,1088.57178849,4962.9552513,3525.63893869,3674.94469815,evil_toddler,-1920.83057532,-4206.80434715,-3425.46081753,-997.152561073,-4088.31294235,1466.07088779,-1720.60018064,-3623.1384432,-250.553066067,2128.85331754,2602.12144444,1477.00081921
-15045.0082501,-2057.73947747,-4783.79845439,-4020.41021778,10313.7314422,4289.55214675,4219.44211722,6771.50813391,-2558.65286671,9143.47100402,998.967642581,-4909.75876828,college_liberal,4048.03887314,-234.556504529,2344.72278026,921.772412651,-2821.81988502,-1222.53555227,-492.875580326,-638.393354063,2610.16268283,-127.627149763,397.157774941,171.539736181
-2873.69277817,11147.4829387,-8166.02756078,63.4544247899,-5506.05350003,17100.8598117,944.642020692,555.569264852,15610.0845715,-3542.92688876,2628.04812852,-1652.14975966,business_cat,696.480605104,1262.64955987,-4814.46283798,-859.873112876,3214.27068168,-2692.03917946,1404.20137045,-3541.78137263,2127.77771795,-520.279130433,-3670.07035189,407.093507708
1563.45883,-13827.0954316,1095.30318833,-1836.64937745,-5074.02402633,-889.153104201,-8449.25631958,1678.00571037,1221.28345933,6334.02221514,4071.78268218,3168.31319777,evil_toddler,-2469.22286902,-4728.28386956,-5002.47221178,-1503.42915382,-5322.19152655,1043.04037439,-1520.65842138,-5319.58865751,-1998.83453662,3933.69609175,-1346.3165677,1946.10531694
34259.1511809,1913.52394154,-7140.10896141,6202.66346127,7999.86632816,3278.9636273,-3848.43162655,-1083.66418663,1812.66526966,2964.04664512,-1892.5280819,3915.58257256,unpopular_opinion_puffin,-2766.30560131,3599.07544536,6740.49468629,1068.72760013,2842.28619137,385.834350038,283.339431281,-3642.21233811,6307.60845211,5284.75547109,2444.45057705,6471.36954642
-18719.8935375,-10941.9262053,-7556.86419286,16256.4969784,1907.02776118,-2151.12520008,8330.12351954,-9527.51516837,2416.74105472,16.5420597172,-1842.20149853,3681.30225171,advice_god,-3381.44140051,-344.668593999,960.576844513,-460.817439669,-1716.68142258,-783.157783011,-1088.30506022,213.969224245,-3572.54188996,499.778118276,-253.616637129,-277.02583303
-10176.8324938,-4936.9080615,-561.687119635,3186.28268459,-9724.51261385,-4681.55541366,-7292.06345345,-1329.68184371,-3707.65724816,-1739.52227441,9130.42082736,8167.67227275,religion_pigeon,16458.3035867,5068.57373576,-1076.53177387,12334.4959914,1433.49680563,-3948.80888768,-2913.75619819,2387.49809869,75.0973530513,2447.43288885,-405.02766346,2082.52866541
-17078.8747569,-8717.46293343,-1063.43586118,-574.541000241,1513.65816539,1819.50438095,-1750.89673846,3572.59773715,-2393.90789864,541.102314355,1366.99419109,-743.532385845,minor_mistake_marvin,-1133.81212525,-820.573998198,-5958.27077451,2474.2547135,-302.166525047,5325.38633457,7728.35495655,-347.498544702,-939.979030617,-1387.60832668,-267.742244691,-1794.70269229
17094.3293044,5291.19595912,-7576.24281645,2437.51621789,-3327.26338753,-1523.45250343,-6880.67271621,1850.58447066,1811.74202959,2072.34293052,-2597.55639388,-779.315083711,good_guy_greg,-593.389621501,2912.33029838,3596.72363298,-2502.23481959,-3042.44725458,-73.8774400643,4109.04788304,3975.52684179,-6660.70505868,7227.72945954,-5074.93674075,411.730002432
30393.3489547,-3799.6512688,-2208.93950118,4517.80552216,9845.51136601,2233.03192803,-1124.96125903,-3212.42383403,-4867.6242577,-4671.01111628,-1282.79905295,-3291.04704713,bad_joke_eel,4603.11509014,-279.16890943,-6964.69942471,314.285880707,-2119.59281525,3213.90549015,-2396.80603833,4400.76385431,1564.47762988,-5714.50970134,-3765.57685169,-8071.34129579
586.438254614,13322.798546,-5690.16592509,-3503.21231847,-5265.51853908,1316.9041667,1131.58973882,-1605.93209,266.429384338,-1000.45786122,-2610.28382155,7177.41868597,good_guy_greg,7324.35760181,-1259.26753826,6433.69011869,-6694.61985069,-4663.88308301,3581.59899671,-1330.5560673,-490.397249719,-1181.1279059,-1552.95395053,103.231344694,-1092.29769952
