0,1,2,3,4,5,6,7,label
18518.5513877,-11835.7754619,4724.42852957,-4946.09393328,-6864.95635459,-1367.59164867,-6451.56341906,-5076.24117519,lazy_college_senior
-18868.3837141,-11299.9379034,-8299.12928611,16683.8843084,2018.3706437,-3038.87814159,8561.14524755,-8687.463976,advice_god
-2912.43748581,11726.8933349,165.092448365,-4235.37271894,-2529.54667314,376.649820267,565.708739756,-2395.30434116,confession_bear
2260.48728174,-12406.560642,1216.34975087,-2365.3657786,-5468.44679663,-1571.98901645,-6590.2550234,813.319164756,evil_toddler
-15044.9651033,-2058.0817656,-4785.60726853,-4022.58614646,10290.9316626,4287.10201915,4241.24007166,6787.62945288,college_liberal
-2873.79055686,11147.4334743,-8163.34370519,77.5770571825,-5505.77600678,17144.6884385,919.90015902,701.574680336,business_cat
1563.45272683,-13827.0770138,1097.83865851,-1831.0257036,-5069.24852136,-874.861587246,-8464.64631103,1685.09076949,evil_toddler
34259.1299757,1913.55223181,-7139.73609643,6223.17694555,7976.98790234,3303.18317581,-3856.14004612,-998.656628617,unpopular_opinion_puffin
-18719.8842938,-10941.8201116,-7558.564919,16252.0481103,1896.02533532,-2170.38392148,8320.57225019,-9542.77185802,advice_god
-10176.8952825,-4936.49286039,-562.653810469,3209.95823398,-9720.60804432,-4638.99110335,-7266.70245269,-1243.45206531,religion_pigeon
-17078.9027061,-8718.17632869,-1059.08851979,-581.0388814,1569.16941151,1839.00626438,-1902.59018585,3580.15411896,minor_mistake_marvin
17094.400261,5291.39152625,-7579.06570913,2414.6185735,-3381.56904401,-1670.47693148,-6971.26146813,1975.94990429,good_guy_greg
30393.3737294,-3799.76931661,-2210.88440048,4505.7444894,9829.50252701,2250.19374885,-1069.15019967,-3296.97213941,bad_joke_eel
586.515148568,13322.5903217,-5692.76037808,-3523.23192154,-5292.21761737,1236.82061971,1117.2197842,-1656.15515817,good_guy_greg
6412.39432186,20459.372915,3230.41644998,-52.1323423186,-7983.62735359,283.86384423,2990.1724247,-7298.55787128,high_expectations_asian_father
-1957.32846847,11865.2657481,22.9476416548,-2054.80532429,-3642.59340047,5221.6092491,4640.73901566,352.882342148,philosoraptor
-8378.69961439,4108.81116004,1970.15669006,-4895.80904749,-1598.74464022,-621.961361765,-1873.20563841,-74.7328247136,confession_bear
-2197.98195921,11403.326413,-8166.18158966,212.328962222,-5499.61465003,17343.9566914,1337.9290204,1290.17952556,business_cat
93.156412122,-14165.8998298,1853.79065274,-2567.00957328,-5172.71931056,-1042.93816228,-6670.17206879,1861.2606919,evil_toddler
11028.6119093,-17156.5793443,4822.13338765,-2318.62693528,-5871.24136379,-896.190083471,-8193.53581207,-1597.93842072,lazy_college_senior
-2479.12891729,1965.02620544,-1838.73207063,-1754.8767451,-4078.83435256,-741.760104825,-2222.68504756,-841.324934608,overly_attached_girlfriend
-3011.87962839,11149.4312973,-8216.76547519,1658.18638423,-5369.00672058,16332.6701512,-635.958849604,1513.72750259,business_cat
-20148.249525,-15056.9866787,2990.88864694,-3258.64207195,-30.0220413578,2805.11017135,-3353.61733888,1556.98055157,first_day_on_the_internet_kid
11680.70625,-16776.6605715,4034.67500458,-4221.93348912,-4720.1779785,-126.007074248,-9795.55209469,-1921.55501384,lazy_college_senior
18486.9284597,-13770.5521976,6781.33111972,-8955.30943438,-6646.22231442,-795.976731589,6737.92699292,-3388.77737857,sudden_clarity_clarence
-2221.6206275,11572.973034,31904.16252,14782.6889233,1372.57179495,-1408.05094555,-2442.52319716,6223.68083838,socially_awkward_penguin
-14259.6250636,-4964.70656907,-138.003033006,-7626.55068362,5188.29406901,-4597.66880489,-1339.4704399,-401.918473878,sheltered_college_freshman
-3057.84919702,12062.2904594,4812.09190964,-8589.38620544,9295.21157552,-7866.70809824,2829.29563307,682.422232893,bad_luck_brian
15824.4397649,642.511401706,-14621.292238,6713.87002506,-6971.74529209,-16275.4488729,2575.35770658,16265.7894935,paranoid_parrot
-4216.92988783,7286.83693003,28540.7631471,13301.0597196,1648.53655101,-1127.36179452,-1185.61198146,4835.79361205,socially_awkward_penguin
-13719.5877211,-6036.40847618,-53.5682359416,17.0665012058,-2127.07743544,-3201.68099394,-2584.08173366,-464.861336041,overly_attached_girlfriend
-8442.79955717,-11508.6494244,5142.85425289,-7724.81039146,-6428.14508901,-1107.57081351,-2657.59333422,6026.87687382,minor_mistake_marvin
-494.418486253,-6672.11852485,-3061.39037,3222.30938777,-4050.94145993,106.817800334,-5175.10419597,2106.28287481,evil_toddler
-4479.5775694,8593.63060274,-7050.20217998,1566.38585248,-5554.81955241,15166.7107951,-2334.97043986,1950.28012655,business_cat
-11335.4913338,1739.93772871,-3350.20081229,-9389.18951617,9271.24697356,-9630.85939671,-7209.92384492,-8363.61469594,sheltered_college_freshman
2031.16477289,20805.5099342,-125.513609584,-700.41821454,84.1938056862,-791.233053392,1886.30221158,-6035.45158844,high_expectations_asian_father
-3793.77637858,11731.1229586,265.106039771,-2838.37800317,-2723.53238274,101.236124005,-2565.01467104,-1418.50368661,confession_bear
-14948.9932703,-1187.14436582,-5249.4335715,-3984.21442573,10747.3608698,4737.56587966,4860.59464318,7062.24076899,college_liberal
-11302.1283165,1560.8103014,-3460.04070051,-9632.19420345,9618.41642801,-9697.88198795,-7937.53688594,-8575.92553431,sheltered_college_freshman
-11397.6888097,1544.75482657,-3204.10638252,-9078.2329139,9418.51125438,-9336.47446825,-8508.02989511,-8384.79325109,sheltered_college_freshman
