0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,label
18518.5931832,-11835.4194492,4723.13888321,-4931.97119794,-6882.06321821,-1331.12904957,-6314.9295434,-5162.39147599,1565.88849088,17300.8668397,-6506.04252421,-581.026573438,1587.94939196,-5754.08104623,-2711.83978943,-2476.51413788,5028.90513291,-5674.51353703,2995.40092857,4775.22436371,1530.76822427,6659.76075906,-7617.52870741,-1704.32834317,635.076335427,771.84082988,4387.58831176,-1781.16075394,lazy_college_senior
-18868.3772919,-11299.8341294,-8299.3370713,16686.2068159,2013.93519467,-3036.56346054,8608.66948116,-8688.7156547,1746.35888393,377.189695804,-1098.80500339,2853.54474306,-614.907402189,-1531.69174824,532.256222211,-740.038891074,803.893374349,-965.515552645,916.696085416,699.120127328,-907.991244313,860.612008986,323.032434973,798.389357904,-875.468529221,-1242.49468416,-148.175520185,-954.969649151,advice_god
-2912.53265517,11726.6966546,168.151563933,-4223.4366361,-2490.79771623,439.219069295,477.331006984,-2266.64215023,194.658476638,-6754.18001292,-8825.82746979,-4500.72193159,1478.65113951,-7211.91735344,2498.18780861,6141.98705468,-451.288743483,1559.4231053,15.0107528996,2740.00922367,411.896267064,-2188.9743952,3215.00561867,-336.609101021,408.558423886,-5567.67812313,625.187602681,-2054.54201721,confession_bear
2260.49776533,-12406.4087652,1216.10507536,-2374.18086616,-5467.32985947,-1599.74486342,-6584.75954837,824.915058214,1092.36131394,4960.55390298,3519.10056532,3660.66174649,-1902.67772813,-4203.09428514,-3455.21102013,-985.769268783,-4020.74123982,1554.90288752,-1581.71833784,-3717.45645626,-471.087897011,-1704.30982869,3445.85132443,1624.00833358,245.106417334,-2196.10467664,-2195.59176131,1985.82580228,evil_toddler
-15045.0091353,-2057.71747602,-4784.03921961,-4020.42037685,10314.5760157,4288.48535599,4219.34093024,6772.08045432,-2555.01632881,9143.34604582,997.656194781,-4913.24566511,4032.03354032,-228.494002952,2342.28879141,940.354001487,-2820.89617226,-1291.9915974,-425.964295697,-694.145212517,2738.95762588,127.161506891,235.05946154,121.002078044,-273.862550147,806.601807505,-680.76598079,721.246384903,college_liberal
-2873.6946442,11147.4909161,-8166.00606558,63.8045287926,-5505.74470564,17101.4853149,944.300824259,556.967695061,15607.94218,-3549.60199249,2643.73490799,-1669.44532933,699.10279062,1255.85687224,-4802.76581581,-851.341605071,3143.69052666,-2727.19696189,1485.68381756,-3578.94774775,2049.99197659,13.5537643247,-3604.89669721,853.654219186,1121.30506235,13.7316794202,444.208460427,1066.60913003,business_cat
1563.46116031,-13827.1155391,1095.35856191,-1837.21472155,-5071.40391494,-889.098584171,-8449.86821392,1676.01466075,1224.44892545,6330.9728985,4079.36030232,3168.50124763,-2469.21550371,-4760.92787176,-5011.90712739,-1550.4724168,-5355.38129116,1004.2447723,-1579.76429749,-5287.89907936,-2066.91323364,-3857.94720085,-1435.71047883,2509.47000888,1559.81128543,-1474.38285984,-1068.39861184,2436.14700097,evil_toddler
34259.1478691,1913.52373985,-7140.15566042,6203.51480333,7996.2907843,3274.99729053,-3848.53966373,-1079.52612763,1813.19081961,2963.42293265,-1880.37515613,3906.54260632,-2739.38350113,3591.81858349,6689.31595374,1031.41840292,2940.65497779,551.366621782,733.291570204,-3634.98545951,5726.93004476,-5906.45373324,3903.46809986,5693.85852167,-4881.64144457,-6311.5168129,1886.43844119,-1143.82679486,unpopular_opinion_puffin
-18719.8931427,-10941.9337841,-7556.74744431,16257.1437583,1906.91965642,-2152.37652242,8330.84772548,-9528.23946161,2421.11833784,15.1791437309,-1837.23615017,3660.96478276,-3400.04709629,-352.05132988,986.696756421,-478.814755456,-1652.06561954,-738.46233401,-1018.50291145,234.634719052,-3449.9404679,-289.920550183,346.292055209,157.439117275,1297.03575069,-390.828600028,-53.1256998285,1433.4940005,advice_god
-10176.8331825,-4936.9234533,-561.788648757,3186.36368493,-9724.59995857,-4681.15039584,-7292.68745015,-1329.0419043,-3710.77274902,-1743.84582731,9134.65987684,8159.08087531,16456.8789913,5068.07697745,-1088.63136905,12343.0427802,1358.77654164,-4013.09208277,-2867.99110087,2453.40618861,128.329853046,-2719.29752374,-137.477949489,1866.37017893,-104.734262908,-878.575845528,-313.101848808,-973.59340807,religion_pigeon
