0,1,2,3,4,5,6,7,8,9,10,11,label,12,13,14,15,16,17,18,19,20,21,22
18518.5939566,-11835.4116214,4723.31334377,-4931.72316477,-6885.75506488,-1336.38133906,-6309.346005,-5138.76822059,1589.56428955,17302.526375,-6492.19001922,-647.709869515,lazy_college_senior,1530.61189759,-5824.41638457,-2764.06169255,-2555.83909106,5064.33526245,-6213.71676961,2788.00359631,3206.28966502,84.4359737727,6847.01014321,-7509.61313519
-18868.3777446,-11299.8412051,-8299.16030564,16686.0332451,2012.79013294,-3035.44677478,8608.25029718,-8693.02178963,1732.64220652,372.17080465,-1086.8425812,2859.68797081,advice_god,-619.857193705,-1531.32299844,543.253262066,-707.900249122,918.018459933,-1096.41334721,924.574736216,711.711148318,-738.559062578,552.882664017,487.068924797
-2912.53265116,11726.6993553,168.292803576,-4223.65877166,-2490.29995798,438.287512705,477.407294371,-2260.5113648,202.685286338,-6753.06029275,-8825.96319699,-4532.32266013,confession_bear,1438.63254817,-7176.9623258,2609.62586078,6078.41156694,-593.117535318,1464.4291236,25.5002920916,2912.39522976,648.923254077,-2498.81257146,2352.5004767
2260.5024954,-12406.398753,1216.10442751,-2373.55332021,-5467.44187487,-1598.12692697,-6582.98654959,824.842265557,1098.11807082,4962.4547418,3522.51986558,3665.08290952,evil_toddler,-1874.80922147,-4160.61549309,-3393.4537416,-960.091592387,-4169.61993325,1637.6420172,-1638.03322194,-3145.66486832,-738.245466841,-2330.18825883,3179.49730283
-15045.0075444,-2057.7042083,-4783.99533403,-4020.37861242,10314.067356,4290.27397883,4216.33349144,6771.15596221,-2556.85353632,9144.58957836,996.656832776,-4915.94347262,college_liberal,4027.09827798,-231.39058612,2350.60841244,954.915770142,-2873.03297707,-1279.82421519,-474.968348741,-838.579203457,2551.13289485,795.244542053,524.497693208
-2873.69288725,11147.4726888,-8166.08348131,63.7702760729,-5505.48625598,17102.3626413,943.992214437,558.169126976,15611.2141189,-3542.98446577,2641.67518394,-1687.15989181,business_cat,700.033813205,1249.46394348,-4813.63654145,-848.965153673,3089.08367858,-2599.41767245,1374.49797708,-3906.57458149,1704.9383279,-172.523958552,-3661.21420002
1563.46434659,-13827.1601827,1095.30360098,-1835.61580647,-5072.74032081,-885.69329658,-8445.27977737,1658.33723236,1211.63084046,6322.19379723,4086.33040594,3185.47198324,evil_toddler,-2436.64491006,-4732.21715598,-4941.74561656,-1464.80854451,-5265.20522444,1210.24340137,-1617.57272986,-4456.23944121,-1441.540524,-4425.20821513,-1132.57519914
34259.1443806,1913.55056017,-7139.99285818,6202.57905026,7998.4377217,3271.84979641,-3848.40108469,-1071.66518492,1832.90713736,2986.54238934,-1905.89290916,3890.16515038,unpopular_opinion_puffin,-2776.32109904,3602.77320778,6807.69253004,1008.11285752,2834.97042002,431.838327773,844.780259506,-4253.92881862,5493.06522712,-7109.45256582,2874.72990577
-18719.8949025,-10941.9297405,-7556.76917713,16257.4321751,1906.48417918,-2153.06261883,8328.6637495,-9530.27009586,2423.30284579,10.7811262335,-1824.68245664,3693.12690004,advice_god,-3360.59705122,-356.691806679,934.599707366,-454.436734928,-1679.53233531,-585.48262703,-1077.11184263,490.783582741,-3500.54398641,-1093.09116223,31.4973110176
-10176.832769,-4936.91076525,-561.717364373,3185.89405953,-9724.62937284,-4681.53671323,-7293.28730788,-1324.50697846,-3705.37239129,-1741.56032921,9122.88072529,8097.5982644,religion_pigeon,16484.3187082,5070.15713073,-970.16974536,12363.1977791,1597.72693443,-3892.30055623,-2822.61521036,2430.73650955,665.442596217,-2608.16146633,-50.6659735555
-17078.8732308,-8717.43098705,-1063.37519791,-575.360714709,1511.74196663,1817.60317719,-1765.22853006,3565.98829377,-2379.91609782,561.453782023,1339.86860638,-708.715002244,minor_mistake_marvin,-1205.33311228,-746.616720645,-5988.31305087,2645.7602241,-228.046678619,5744.35813067,7790.03394429,165.178342294,-816.240054424,994.76729335,-1542.47402653
17094.3248738,5291.23354898,-7576.07547759,2435.9492358,-3328.68871499,-1519.31757853,-6900.20490522,1819.10109481,1779.85736668,2081.21679563,-2605.39783326,-719.67282405,good_guy_greg,-583.611830654,2917.36056645,3453.4127496,-2295.50739245,-2702.00551359,339.730852172,4235.66870519,5175.30931875,-4747.08529388,-7986.60464827,-3644.51054378
30393.349575,-3799.64408327,-2208.32425307,4514.72484749,9843.08911205,2231.73703291,-1135.26793151,-3207.1538717,-4866.57761773,-4673.18112148,-1309.67109651,-3305.78121961,bad_joke_eel,4506.68722504,-142.996247718,-6958.02509574,390.745794405,-1915.44749332,2897.88611521,-2519.09634843,3714.17496653,713.241499658,6457.27508969,-4460.0487596
586.434766613,13322.8372776,-5690.17974519,-3503.87792962,-5267.65170554,1314.30003556,1132.01982783,-1601.81354426,275.907616742,-984.658004573,-2635.2139749,7145.47741213,good_guy_greg,7337.16500451,-1306.81481576,6349.58984077,-6693.74392308,-4670.23351107,3530.5463135,-1159.82906788,-416.670460869,-1746.9096286,593.40686293,87.4957835858
6412.49953105,20460.289516,3226.65679076,-71.3420268068,-7990.27457111,216.389373592,3130.24343175,-7458.30895553,-8881.38212774,6984.34353728,2507.50399118,-3410.44089072,high_expectations_asian_father,-3535.1635555,6071.01967411,-2313.25265009,-1131.10128797,-1910.85293918,1284.24973489,4232.89429993,-1899.13004883,5281.60801278,-817.293279927,-3238.70620164
-1957.35580884,11864.1418108,20.445367877,-2052.89191766,-3684.22738329,5235.92406136,4565.38582164,598.058855323,-6076.71080469,2926.19609248,1965.92659659,-74.9885439208,philosoraptor,-1196.89316175,-4249.47019202,-338.207029222,-2499.55478878,6503.82794205,1119.24462877,-5981.33284433,2774.41805976,-2092.18501685,-913.254254158,450.741117974
