0,1,2,3,4,5,6,7,8,9,10,11,label,12,13,14,15,16,17
18518.603735,-11835.3785556,4722.80387126,-4929.25985665,-6888.24469462,-1338.69310995,-6319.61100552,-5162.64844709,1612.35102973,17322.6876112,-6397.08314797,-662.654706534,lazy_college_senior,1658.84133662,-5738.16607929,-3065.23050864,-2641.10885446,6258.7238971,-3429.28691995
-18868.3783119,-11299.8188773,-8299.18857127,16685.8986605,2012.15393115,-3033.11333321,8609.71003726,-8685.60333861,1743.7346717,360.996010362,-1141.45627103,2819.79170474,advice_god,-628.626665248,-1581.42876126,404.209113394,-647.212930732,1200.64933138,-543.651505545
-2912.5263669,11726.7731834,167.875786366,-4216.70684371,-2490.7279055,426.219542467,467.634199114,-2259.67438922,113.838105102,-6693.44046741,-8645.89477405,-4537.06166079,confession_bear,1526.98238248,-7304.3336967,2446.21217469,5672.90652831,-1010.16244056,1160.53167855
2260.47840606,-12406.4722896,1216.66648615,-2380.83507156,-5466.41183337,-1587.31571621,-6573.16487951,818.452366806,1152.25378849,4910.05291221,3465.86871822,3688.78355741,evil_toddler,-1998.57635152,-4006.27580792,-3626.83119191,-87.4317251948,-4389.13389576,339.591343163
-15045.0122945,-2057.72249599,-4783.88864965,-4022.97390325,10314.566927,4294.42028969,4223.52649094,6773.32155055,-2504.81960996,9135.70557694,1025.28621697,-4913.1879247,college_liberal,4076.97428831,-392.617492584,2261.2204382,1268.07059483,-2575.15623864,-1408.65125597
-2873.69884331,11147.4527989,-8165.94883806,63.8764923964,-5504.37483834,17100.3493193,943.780449836,547.025407539,15609.0760607,-3623.70134215,2698.42011005,-1622.82840117,business_cat,674.90816327,1521.99070894,-4635.31249677,-550.261340751,3753.68402481,-1595.58328548
1563.43038817,-13827.19741,1096.087925,-1843.81053642,-5075.44324532,-874.781733999,-8439.84449882,1657.29707918,1289.7268951,6268.9666723,4092.09663528,3231.20739591,evil_toddler,-2582.04948137,-4380.33965701,-5089.83139982,-405.747415079,-5486.38394735,-787.911402264
34259.1677934,1913.61201838,-7139.99186306,6202.66723221,8003.91597037,3278.05760236,-3839.97301826,-1047.68391127,1830.02585146,2974.97353709,-2147.07114145,3804.93236109,unpopular_opinion_puffin,-2693.76866773,3199.32568288,6698.82238428,622.402535181,2372.21050287,1671.02014522
-18719.9116385,-10941.9593845,-7556.53709211,16252.7999734,1904.00661005,-2145.36845561,8337.65649522,-9529.04666156,2449.86856182,-21.1150444169,-1919.57778036,3595.34959746,advice_god,-3412.11777861,-289.015411119,988.203074906,-35.2780061634,-1519.84766203,-1324.4062364
-10176.8175428,-4936.85915912,-562.160744379,3191.71307389,-9722.39274436,-4692.49212626,-7303.4136095,-1319.2092559,-3754.27674274,-1682.25224114,9152.91589709,8433.42794651,religion_pigeon,16458.8283128,5184.50049142,-331.26090348,11793.2377475,1961.94609562,-4235.52968444
-17078.8811809,-8717.57068911,-1063.57392725,-568.970815359,1513.5054329,1806.42240663,-1756.04344573,3530.55716841,-2395.34888414,563.455070547,1597.93831828,-568.691288615,minor_mistake_marvin,-1162.29529916,-243.964694719,-5341.79154538,2196.93955702,-390.373346375,7904.39883348
17094.3215535,5291.18543127,-7576.01176993,2433.8139584,-3338.89389454,-1505.91068861,-6868.35203725,1837.40080389,1860.34489337,2031.50668855,-2685.57352852,-977.512120965,good_guy_greg,-480.496653506,2711.86252202,3719.38832915,-2119.89755044,-1351.38511352,1446.81495743
30393.3384869,-3799.79453152,-2208.5865093,4517.17377993,9848.53697757,2231.92527303,-1127.16911403,-3239.91556661,-4869.7712766,-4675.81847254,-1140.36150917,-3233.20856238,bad_joke_eel,4573.2736224,-15.0090027891,-6831.49314521,337.407798939,-2735.07870998,1791.39373622
586.441742381,13322.8305839,-5690.03918087,-3507.07568362,-5268.79959093,1326.76800594,1145.74353433,-1588.7324242,287.13841879,-1020.36967019,-2854.45711312,7044.97586862,good_guy_greg,7363.35561328,-1725.02220838,5907.93943064,-6818.10153555,-5312.76194845,2256.37436135
6412.49201173,20460.2879418,3226.84685983,-72.6517357535,-7985.54223737,215.000336742,3126.33666965,-7476.94299465,-8848.84876663,7010.14698914,2528.33110342,-3336.86026374,high_expectations_asian_father,-3504.16673845,6185.07600933,-2156.21229871,-745.322022135,-1993.31740491,2655.93843726
-1957.3527774,11864.13804,20.5182442178,-2052.17828569,-3679.01866955,5229.09761276,4560.81912298,597.981720384,-6072.76394441,2951.60891699,2027.10146552,-2.6505325439,philosoraptor,-1206.61187541,-4214.69444959,-512.697636584,-3096.05512714,4919.7854836,-362.558670659
