0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,label
18518.5998961,-11835.4661865,4722.86152852,-4930.9707214,-6881.62121137,-1335.1746271,-6317.42630843,-5158.78522992,1574.43054442,17309.8077758,-6477.83457852,-607.533479665,1552.21709598,-5770.10610284,-2849.20739602,-2593.30873525,5240.67154797,-5306.18053406,2988.35070984,4243.79477349,1822.00393544,6489.93195188,-7414.75543249,-1381.87095876,721.409214022,lazy_college_senior
-18868.3792758,-11299.8349901,-8299.19699057,16686.6671796,2011.4468737,-3035.60965656,8609.66705753,-8690.2751712,1742.74663975,367.079321722,-1092.12351491,2864.23582173,-620.718292815,-1550.05975612,535.339479471,-696.981277486,812.120216139,-958.890342542,933.580093715,789.288079825,-651.737299071,465.30842346,394.873163673,800.352381358,178.287443633,advice_god
-2912.53011658,11726.6902726,168.141050213,-4223.74213974,-2490.10198417,438.411424783,473.747264564,-2264.63000185,200.383821713,-6745.51944997,-8830.35542489,-4521.27614012,1474.63249777,-7222.97747832,2463.2826936,6132.45423103,-528.795440766,1678.39556979,-136.298289187,2770.98149372,217.228628566,-2088.13550496,2713.84885878,368.057927396,-4830.95286558,confession_bear
2260.49789417,-12406.4139666,1216.30513015,-2374.68810759,-5467.14659553,-1597.91225049,-6584.45336154,829.950754988,1089.56172794,4963.14837832,3516.07239116,3692.9010724,-1871.25173745,-4210.49724751,-3400.81424198,-913.467539771,-4098.15904088,1416.91752951,-1643.06965361,-3752.15277088,-659.810958697,-1731.79514334,3339.32640018,1176.73499813,-2112.46810563,evil_toddler
-15045.0073739,-2057.72082431,-4783.99207355,-4020.42164831,10314.9885622,4288.77833799,4218.3259901,6774.6065526,-2557.49227921,9145.67343382,993.822312636,-4935.37198954,4029.51104439,-232.403505861,2321.82183457,954.692270881,-2866.20382978,-1262.26935522,-414.507502555,-712.374868304,2620.7589774,89.4348189106,372.859228151,90.3670222565,842.900720432,college_liberal
-2873.69529073,11147.4818614,-8165.98258788,63.5965249717,-5505.72236799,17102.5611502,946.968101515,555.965961956,15609.7173715,-3550.99065236,2622.81244962,-1654.18839334,699.81941162,1235.11637609,-4772.21878905,-822.976580044,3157.30855294,-2709.83344585,1446.19232367,-3424.54002533,2260.09762726,-140.219898448,-3855.20540629,239.952047346,-582.04811365,business_cat
1563.46459336,-13827.133825,1095.65183545,-1836.80938696,-5073.27362565,-886.546995357,-8446.503654,1681.87450125,1219.27183748,6333.15670093,4079.83677286,3209.28858112,-2438.16111812,-4781.61197407,-4950.30929688,-1433.19078384,-5336.53986994,908.646095011,-1745.32009431,-5236.93953191,-2073.26222333,-4066.70485136,-1088.42503371,1162.65279731,-1374.0559811,evil_toddler
34259.1468862,1913.52052935,-7140.09601741,6202.93586835,7997.63592248,3274.05605825,-3850.14702717,-1085.07947627,1819.67201443,2973.76827837,-1881.38211147,3897.27439138,-2732.50371751,3636.10245287,6755.69716147,1033.96106555,2916.59144191,559.03495658,585.213469507,-3531.21342402,5646.69356413,-5912.21497047,3984.70882892,8340.50768747,-3476.17477495,unpopular_opinion_puffin
-18719.8922453,-10941.9274602,-7557.02120171,16257.0348768,1907.58030017,-2152.84451431,8326.88685017,-9530.56345401,2421.67885487,17.7748458616,-1829.31054682,3668.53562913,-3369.14534891,-350.474039429,945.213362083,-467.787301098,-1611.32086414,-684.939332098,-1023.34282923,238.384174711,-3495.12062113,-54.9951388839,-74.669116168,-160.245005837,-1392.33493222,advice_god
-10176.8313868,-4936.91988083,-561.904573641,3186.42278647,-9724.03366753,-4681.84595089,-7293.0708844,-1330.05485433,-3707.90215639,-1737.58804198,9158.28045989,8079.5760645,16459.4309853,5079.19479924,-1128.76094135,12297.4025989,1405.4690499,-4054.15616808,-2721.4162746,2518.94992197,101.072521932,-2635.10425555,-44.9263544831,2020.61843544,-1002.77417795,religion_pigeon
-17078.872381,-8717.51105082,-1063.6889631,-574.279108047,1513.40115855,1816.46310684,-1755.31710712,3568.95653874,-2397.98846899,545.937159916,1357.14788842,-740.378316789,-1155.99194981,-790.835210632,-6014.63859175,2347.26302557,-127.368145523,5977.62436132,7262.39042609,-351.236513435,-977.839571696,521.51456264,-1485.03277587,-2021.21438428,2909.35671819,minor_mistake_marvin
17094.3116359,5291.29126253,-7575.87899402,2437.15431429,-3333.87116798,-1523.38597958,-6881.05923297,1847.02541973,1800.89674576,2062.49112595,-2660.10093826,-690.489324362,-535.852627432,2917.04852154,3726.49034375,-2279.00426499,-2881.48083723,296.646303816,4353.08458928,4550.82572564,-6966.79947745,-6715.68823969,-4219.18584465,433.56994105,-284.739305476,good_guy_greg
30393.350185,-3799.67233646,-2208.74937198,4517.63542651,9843.46610259,2232.9558125,-1123.77631295,-3213.93474578,-4863.78240198,-4682.9432661,-1315.17547247,-3273.11381497,4615.28774112,-293.276653787,-6949.80225034,335.370001943,-2123.79699957,3181.72704405,-2799.79092239,4447.60641639,1640.27726848,5206.97281699,-4978.13120315,-9096.60793778,333.122587464,bad_joke_eel
586.435359224,13322.8012511,-5690.19163324,-3503.36794548,-5267.05932776,1313.30320714,1130.04202148,-1604.88675273,271.679004782,-989.334650237,-2580.92323744,7131.86506446,7355.63325442,-1241.73789905,6445.92917889,-6713.73013203,-4613.77544825,3717.89236552,-1149.88570479,-631.787830773,-1240.90576323,1557.29178647,402.026584091,426.181937473,-134.07328979,good_guy_greg
