0,1,2,3,4,5,6,7,8,9,10,11,label
18518.6050722,-11834.7238633,4721.46375624,-4927.08554548,-6866.97096271,-1329.0610188,-6280.81228843,-5201.20669168,1561.6992487,17273.7054771,-6461.93250197,-777.269042551,lazy_college_senior
-18868.3860852,-11299.800496,-8299.10572462,16685.3170799,2012.40136929,-3028.95443415,8614.92257129,-8699.72689099,1752.55903664,367.753836032,-1154.21830402,2857.32063917,advice_god
-2912.52980401,11726.4670484,168.126040706,-4222.15694127,-2499.13136804,415.548121664,454.22230839,-2299.28892764,134.861277493,-6680.91553806,-8647.4154118,-4448.36833968,confession_bear
2260.51664066,-12406.5823573,1215.57650132,-2377.98950676,-5474.45857899,-1588.91571893,-6589.18966257,885.11754515,993.596313292,4974.44614251,3468.49009439,3637.14175442,evil_toddler
-15045.0095838,-2057.69790197,-4783.61590486,-4019.71683712,10315.3603265,4285.4872735,4219.83159549,6778.3683962,-2562.73892529,9141.62299436,1209.99056151,-4857.15246382,college_liberal
-2873.66832131,11147.4988131,-8166.59341107,67.0133759118,-5512.16946348,17086.2285747,950.275520925,581.411887227,15572.5679344,-3482.86503468,2759.36369094,-1743.37217408,business_cat
1563.4859669,-13827.185086,1093.32243156,-1838.08593604,-5078.07822506,-874.71297527,-8453.53751927,1760.6620566,1114.7990781,6332.53795613,3953.74971213,3076.59247264,evil_toddler
34259.1609867,1912.54625888,-7138.46955337,6195.25854994,7979.77785319,3245.99364652,-3880.06790594,-1110.86676635,1643.78425131,3073.07495747,-1610.49013514,3985.60239261,unpopular_opinion_puffin
-18719.8830283,-10941.7106312,-7557.17069148,16255.9924542,1913.61130801,-2142.13041341,8336.90857697,-9531.50252387,2382.12948603,-30.5725982107,-2011.77559965,3591.83280624,advice_god
-10176.8343152,-4936.90294305,-560.405663983,3187.27124905,-9720.2692556,-4694.34121728,-7309.50403786,-1385.87510611,-3698.3445743,-1728.04099166,9804.77791497,8428.74217773,religion_pigeon
-17078.8858717,-8717.80125604,-1065.97754412,-577.853805989,1505.57160385,1834.27428925,-1742.53169354,3653.22196862,-2396.54305746,502.680178282,1140.51014296,-672.674129611,minor_mistake_marvin
17094.336008,5291.23020996,-7576.78507315,2426.93092938,-3325.36730213,-1494.71775043,-6845.29560796,1861.18300564,1787.99918397,1983.19293917,-2776.05549059,-922.484141926,good_guy_greg
30393.3591398,-3799.39607679,-2209.95836648,4525.06983643,9845.05242124,2243.35200546,-1113.59752762,-3135.67819333,-4727.09659375,-4654.5629398,-1391.03387394,-3347.8630552,bad_joke_eel
586.433578844,13322.7496304,-5690.21375823,-3506.00531967,-5266.10477373,1316.70736105,1138.97679424,-1621.54167497,249.439068912,-1012.10132066,-2500.41346289,7193.95293286,good_guy_greg
6412.50125905,20459.8800322,3223.92461898,-77.9399486029,-8001.05972224,251.023198663,3139.39698452,-7332.20446537,-8926.97006599,6954.60959542,2259.65955944,-3385.8228333,high_expectations_asian_father
-1957.36073989,11863.9970088,21.451860247,-2056.45580468,-3683.83088207,5236.69818209,4562.21692667,589.247231538,-6119.58928071,2888.89277021,2047.35364868,-58.5118840453,philosoraptor
-8378.67772809,4108.68245497,1971.68747191,-4907.39365942,-1622.27538701,-662.439336606,-1935.25303858,71.9145988195,798.911512769,-1182.00042558,-7182.52603982,-3110.95524969,confession_bear
-2197.89820189,11403.4805891,-8164.1215259,202.357158757,-5469.67886072,17303.9251506,1342.36890014,1075.29175324,15947.0625072,-4788.64196433,4234.15208001,-715.589364539,business_cat
93.15838434,-14165.9733918,1853.46256565,-2573.68217187,-5175.07528273,-1028.98319182,-6659.03919478,1938.14322864,668.517930707,3685.9373826,3459.6822489,4956.13897221,evil_toddler
11028.5077406,-17155.8471649,4822.69206077,-2304.08000885,-5876.26997027,-840.994316693,-8117.17453427,-1429.36411845,5351.47400725,6917.94074119,-3997.52220571,3974.54015372,lazy_college_senior
-2479.25039703,1964.27831055,-1829.87845004,-1732.6441343,-4051.74623706,-698.615082659,-2287.44684377,-903.364171864,-845.135881631,-1238.52443026,-5798.54096791,-286.590744331,overly_attached_girlfriend
-3011.82501792,11149.6445633,-8217.83143289,1647.02370141,-5363.71596314,16290.5450926,-639.363226466,1479.67099116,13364.0923439,-3735.40664205,1777.91382618,-733.173317847,business_cat
-20148.1598351,-15057.529234,2991.33287841,-3275.9870256,-49.6514437717,2739.40839444,-3392.57178093,1598.67800677,-2431.17742303,-2154.84992414,-2977.70637644,-1310.91637775,first_day_on_the_internet_kid
11680.7708581,-16775.4894355,4029.48686144,-4198.2023063,-4729.22490845,-47.2190596925,-9546.59138416,-2107.49442356,1439.44549572,15421.9366531,-5431.10722348,-858.37410274,lazy_college_senior
18486.9332234,-13771.1784048,6782.04763746,-8979.59573965,-6701.03212402,-850.877414947,6723.59783992,-3300.17066396,4246.83586365,3526.62596768,-3722.48930647,1984.17932989,sudden_clarity_clarence
-2221.66899892,11573.03096,31905.5716769,14799.3110563,1400.19243632,-1350.28618491,-2495.18277075,6202.60474363,4493.03991534,-1448.6078907,2474.94930934,-1244.86751795,socially_awkward_penguin
-14259.6659914,-4964.80165786,-133.721062544,-7620.0189806,5205.03349095,-4641.48803103,-1471.49567584,-337.064894134,-12.535059113,1342.92460284,5536.32374356,1602.43886599,sheltered_college_freshman
-3057.82035054,12062.4891173,4810.5601582,-8597.53480311,9246.52533292,-7878.91486315,2961.37807299,697.406954083,3746.58569813,-2441.66617942,-4542.4963014,10510.6641314,bad_luck_brian
15824.4532704,642.672686038,-14626.5440022,6716.59039621,-6995.45836416,-16227.622735,2586.7443006,16330.7973218,443.171035927,-2052.14370049,-50.9830022522,-5199.86523701,paranoid_parrot
-4216.93893966,7286.99711261,28538.7515273,13304.8806182,1644.6344541,-1110.90272927,-1192.39314628,4870.66186401,2434.24325415,-462.260431953,1043.3756538,-2304.60214722,socially_awkward_penguin
-13719.6140732,-6037.76717054,-50.2081625247,35.5998168742,-2158.76687568,-3274.75374899,-2768.97976205,-384.863687583,563.490701007,3598.53930182,1351.48402244,-760.433604712,overly_attached_girlfriend
-8442.84514938,-11507.582588,5141.25273502,-7706.56160749,-6406.55814914,-1070.83481063,-2584.69636279,5998.37270086,-4878.71978392,-3382.7146259,3414.12275201,7595.12471829,minor_mistake_marvin
-494.461523671,-6671.30394913,-3061.03249185,3227.14917831,-4013.677382,170.284388176,-5070.62054818,2063.61099396,808.575746194,-78.1433692717,521.509536891,-218.060037583,evil_toddler
-4479.53430556,8593.99393927,-7048.4088416,1553.71565963,-5535.20934995,15111.72247,-2372.76863853,1865.20540878,11703.2451947,-2725.69417097,2685.92363165,-364.0339265,business_cat
-11335.5114172,1739.82781263,-3351.51849808,-9387.34115382,9288.72356388,-9575.99815358,-7259.00162059,-8269.78399573,4736.38139767,-4129.19996775,9733.78051547,-5289.50818269,sheltered_college_freshman
2031.3491,20806.1203765,-132.170114604,-729.209271408,50.5662546927,-830.056153954,2101.35969656,-6037.11964693,-5462.02824557,3218.08845055,-3351.56812029,-3620.13470362,high_expectations_asian_father
-3793.94019728,11730.9045966,264.483417529,-2816.18878386,-2695.27639377,161.237952903,-2691.19882872,-1215.80577995,-2297.92532433,-4278.23573494,-9297.15218166,-4395.9784228,confession_bear
-14949.0399323,-1186.82825491,-5244.36142603,-3975.94534414,10798.7356269,4744.97200616,4822.1282195,6962.63692864,-1894.83572427,9369.35017549,1405.62833939,-4551.88873793,college_liberal
-11302.161937,1560.6516133,-3462.23197978,-9630.1194024,9625.65536315,-9641.23091624,-7978.07765583,-8464.55897868,4269.83480823,-4196.23797824,10323.3240357,-5637.88173876,sheltered_college_freshman
-11397.7037251,1544.63211508,-3207.07403907,-9077.30910845,9418.77128465,-9288.17426747,-8534.7738669,-8286.96702228,4418.00563737,-3760.3014023,9441.08617521,-6094.99555249,sheltered_college_freshman
-4203.29943172,6240.21475142,28864.1051069,12770.2684679,1818.61829561,206.854854265,-1489.87438806,5602.16235045,2038.55317755,-104.186590044,1003.55978941,-1174.36587239,socially_awkward_penguin
15214.9060321,1153.17831015,-12859.7181791,6846.6424934,-8282.08379528,-17523.722743,1346.04624755,14706.9197002,4958.71960434,727.57258554,1398.98681719,-4585.06725238,paranoid_parrot
32887.8027181,-5449.13715673,-1922.29768597,3564.53514128,7370.05697758,1258.71777183,-1996.20662844,-5249.9356767,-3160.16395576,-1384.95832321,-3948.03145605,-4919.47472281,bad_joke_eel
-20387.7573213,-15869.286633,2935.48558084,-2898.77697573,-209.612929451,3220.14583865,-3374.70411938,2304.9384947,-4450.16685536,-6067.22969487,-958.29509988,-1950.88116443,first_day_on_the_internet_kid
31210.8420092,-4485.07049118,-2958.04352211,3742.259929,9130.86396558,1064.33024116,-2051.28772996,-5355.80465841,-1996.53694952,-4312.42891937,-2358.37316568,-6635.99118506,bad_joke_eel
1365.83031434,14082.8183867,7667.29595338,-6809.51112036,4719.03379325,-8866.43288535,3468.17432735,-2799.4800955,-191.208260313,2722.25570053,882.286087909,6144.22659549,bad_luck_brian
10583.0373122,24979.7785585,-861.491682445,791.685972931,-7644.18752455,990.116004301,1698.13787089,-8477.65145919,-8164.21215763,7906.15244983,974.690508547,-1659.12653802,high_expectations_asian_father
-2383.77726193,15444.216447,2563.86504655,-8021.74876018,12982.1146272,-9022.84722904,3711.25085323,297.949581019,5280.55870444,-965.424425761,-4544.80594912,8686.13517472,bad_luck_brian
-14677.4811769,-1700.60811966,-5045.98291705,-4431.0680474,11154.9889293,4447.4858921,4433.11838035,6734.92407848,-1898.36167588,9708.37465283,699.667961642,-4366.22829943,college_liberal
2500.10644834,18630.1473888,2738.01059999,-1680.07319233,-4807.48007102,-259.865714672,4140.70382491,-6219.95235696,-7878.2160586,3078.07670451,-1865.75188416,-781.526454774,high_expectations_asian_father
-18472.8104555,-14821.1966829,978.041981958,1100.83240292,-149.268821308,3240.68386725,2176.63847996,3487.696713,-1435.79756695,-1029.82863723,1671.31487458,3986.2027729,overly_attached_girlfriend
-19263.2747923,-11493.7174141,-7408.50345583,16020.4148737,1016.8572736,-2804.40728916,8185.05014837,-8602.69727605,2366.25199432,2865.385364,-936.015204722,2862.5232574,advice_god
-2778.64815082,11556.8298017,-23.1421044722,-1439.36448093,-3447.28894588,6377.02250639,2711.60057484,937.94316222,-7503.34708049,3119.92163819,2037.08117763,377.755751274,philosoraptor
-2145.16477508,10730.0001314,1406.58984761,-3249.18133733,-4614.74855172,272.169631376,-2840.8130213,-2286.2790869,-1625.55581438,-2781.32714808,-7840.31993963,-5125.28437306,confession_bear
-18118.6838776,-11245.9418493,-293.994983402,-1442.176089,460.010174168,2991.12899584,-1475.76245011,4734.53933078,-2959.39496269,-711.41928873,1080.18390526,-85.9579891943,minor_mistake_marvin
-899.528973363,10636.4547279,-191.407783154,-565.820173827,-3566.81222772,4726.19230183,1416.44238093,436.296939339,-4319.55469565,4119.4654225,2447.96698817,-2060.10139955,philosoraptor
7958.28876367,21342.4158374,2837.3361936,899.257272576,-7357.46765979,193.044119518,3314.78829482,-7537.64379808,-10024.1074462,5514.31624373,2816.17399083,-2566.93526676,high_expectations_asian_father
32787.2503067,-2320.76672662,-4696.13096448,6799.10010153,10008.5351728,5700.38223821,-3633.72450938,2073.67045453,-6232.38143543,-3669.77924256,3363.61444317,9675.59975394,unpopular_opinion_puffin
21062.6881912,-9833.24804383,2344.86664078,108.90685306,-2538.72525075,-1094.15467298,-3508.92429969,-4429.94092246,7318.1732974,12468.4433256,1979.8000227,266.53342711,unpopular_opinion_puffin
-11783.4368765,725.16972183,-2654.17116811,-9399.22982062,8465.49449009,-8206.67013363,-8139.28942693,-6968.21626697,3244.10818491,-5056.58479488,10002.6766275,-3022.38698298,sheltered_college_freshman
225.484624223,12736.4711075,-6240.81244795,-953.276781431,-4564.20673986,1901.36543222,-2879.12493438,-861.948730052,-1469.78995761,1252.60085303,-2743.56054273,5171.89438321,good_guy_greg
-14638.6077212,-1363.08567028,-5263.58871644,-3666.9224116,11130.2870934,4220.48020653,4257.7467993,6399.48271434,-1618.54857701,9047.69420334,1150.53528075,-4547.13035909,college_liberal
-14815.5131167,-2289.34097468,-4909.40856457,-4862.43094937,10858.4786287,4776.90392135,5782.31589134,7524.09838455,-2402.40380504,8405.56046828,1670.45464156,-3256.01666407,college_liberal
24905.1185646,-3680.18316636,-3940.49176777,4748.09805611,11809.7755345,9146.79372002,-3773.88243636,5291.38891966,-3979.24798935,-5041.16735583,2663.76586758,10393.1323923,unpopular_opinion_puffin
-14686.0559264,-765.818173418,-5225.37424075,-3934.73460453,11226.7377505,4542.43832873,4444.69610749,7078.78192235,-2198.11617981,9869.43436973,879.895021966,-5339.70658614,college_liberal
-19418.7254226,-11746.6182653,-8381.62314247,17498.535695,1262.32873124,-2807.52098503,8403.55416607,-10128.0465739,1867.965951,590.355979476,-2066.71162787,2685.16614794,advice_god
