0,1,2,3,4,label
18519.1093865,-11830.5152775,4712.66682099,-4822.91416955,-6711.71571864,lazy_college_senior
-18868.2533959,-11298.7658495,-8302.46325919,16748.7648421,2131.25337816,advice_god
-2912.76524818,11724.5236494,160.731475048,-4118.31813214,-2386.63766387,confession_bear
2260.31080916,-12408.019244,1216.38354905,-2327.59379191,-5466.60457069,evil_toddler
-15045.0852422,-2057.76394479,-4784.46655149,-4061.65683455,10309.0811526,college_liberal
-2873.67335565,11148.2557121,-8165.21640715,-35.1439984306,-5597.89250173,business_cat
1563.34826722,-13827.8997695,1091.51839793,-1816.29666956,-5036.56827711,evil_toddler
34259.0950156,1913.27924078,-7138.6113199,6184.5769,8017.16866095,unpopular_opinion_puffin
-18719.7888577,-10940.9331717,-7561.7318769,16300.7345002,2034.56671378,advice_god
-10176.9504664,-4938.29180763,-566.545025476,3321.52013714,-9643.80176691,religion_pigeon
-17079.0109294,-8719.49646375,-1060.30447715,-503.390137673,1497.57292776,minor_mistake_marvin
17094.6669449,5293.38440877,-7577.6290921,2389.04189758,-3285.78508404,good_guy_greg
30393.1744822,-3801.97720405,-2202.08663458,4494.80317878,9733.1173501,bad_joke_eel
586.604580457,13323.7163608,-5684.0610581,-3472.57420984,-5305.53901553,good_guy_greg
6412.54742571,20461.7672988,3228.58049516,-125.711709514,-7983.0982218,high_expectations_asian_father
-1957.27063618,11863.6156875,19.5688092259,-1972.49629587,-3666.38137204,philosoraptor
-8378.95315643,4107.09070415,1962.29754555,-4876.49870751,-1554.63995652,confession_bear
-2197.97194758,11403.1905053,-8161.09845695,92.4034283849,-5609.75974321,business_cat
93.0790155962,-14166.5325785,1850.18967793,-2495.16560572,-5116.10590155,evil_toddler
11028.5131596,-17156.8376387,4824.98387588,-2123.9814829,-5840.67158316,lazy_college_senior
-2479.01876068,1964.27300891,-1824.23821467,-1761.98001369,-4107.97855639,overly_attached_girlfriend
-3011.98317482,11148.6969923,-8210.6647289,1549.82606005,-5537.72884792,business_cat
-20148.2098845,-15057.3840385,3002.95285056,-3385.15955766,-245.618102029,first_day_on_the_internet_kid
11681.4442026,-16769.8424955,4015.90228253,-4063.17118312,-4510.6539873,lazy_college_senior
18486.9198015,-13770.3602743,6782.46238181,-8947.64807238,-6677.8037815,sudden_clarity_clarence
-2221.56201806,11573.8775648,31904.9333252,14757.0728545,1409.75699866,socially_awkward_penguin
-14259.9582182,-4968.43583143,-127.579375872,-7570.77601207,5142.56275631,sheltered_college_freshman
-3057.75858804,12062.1580076,4811.93536163,-8508.6795531,9255.75159142,bad_luck_brian
15824.6151288,644.469271459,-14625.3514544,6637.23694023,-6998.47646197,paranoid_parrot
-4216.88524319,7287.87646952,28542.417524,13255.9838218,1626.44622783,socially_awkward_penguin
-13719.6555562,-6039.02478835,-51.549240346,63.2957814253,-2090.59367715,overly_attached_girlfriend
-8442.79321954,-11508.4855732,5145.682977,-7622.01144656,-6425.06474577,minor_mistake_marvin
-494.456333677,-6671.77690607,-3053.78354712,3210.7895197,-4083.84394828,evil_toddler
-4479.7413873,8592.58128811,-7044.81359968,1456.05662214,-5696.16101044,business_cat
-11335.5595101,1739.32306056,-3345.04611998,-9443.45920288,9222.39952703,sheltered_college_freshman
2031.41302686,20808.4533724,-132.111666911,-776.815296006,101.917529983,high_expectations_asian_father
-3794.23493655,11728.0585886,255.723894456,-2700.24637642,-2568.78383908,confession_bear
-14949.049842,-1186.48128875,-5247.22264836,-4028.76766417,10808.5097424,college_liberal
-11302.2186359,1559.98826967,-3455.61546703,-9673.42880643,9559.19726305,sheltered_college_freshman
-11397.7355298,1544.38729701,-3201.57364369,-9130.71575003,9360.05331826,sheltered_college_freshman
-4203.26525351,6240.32864667,28871.9102514,12725.9909358,1745.40789173,socially_awkward_penguin
15214.7438096,1152.14361125,-12855.6551157,6715.33220095,-8400.08499499,paranoid_parrot
32887.7981562,-5448.86845194,-1918.6925208,3475.50462304,7282.34438275,bad_joke_eel
-20387.6341632,-15867.8536161,2939.91642988,-2976.00943575,-301.91277976,first_day_on_the_internet_kid
31211.0163135,-4482.59552475,-2960.86635012,3639.70675844,9131.17797469,bad_joke_eel
1365.4955999,14079.9498717,7660.43977943,-6757.68712881,4765.95462889,bad_luck_brian
10582.9961135,24980.0503884,-851.584543713,735.723986496,-7738.57578283,high_expectations_asian_father
-2383.67759572,15444.5305851,2565.8698887,-7974.43352521,12994.2749693,bad_luck_brian
-14677.5199222,-1700.42845616,-5045.06057042,-4492.01683773,11111.2949734,college_liberal
2500.04841134,18630.4776324,2741.9376476,-1661.86364633,-4782.59592768,high_expectations_asian_father
-18472.9380619,-14822.8943878,989.928721694,1137.38711807,-220.023066015,overly_attached_girlfriend
-19263.2749452,-11493.8395764,-7412.02221758,16065.0648757,1138.19718205,advice_god
-2778.59017185,11555.9409967,-27.3348244914,-1321.32513478,-3399.70199818,philosoraptor
-2145.49028368,10727.5827226,1402.93628447,-3195.14542623,-4587.35439434,confession_bear
-18118.7605164,-11247.4646484,-286.851265709,-1350.49743311,441.362642754,minor_mistake_marvin
-899.572796973,10635.4338551,-190.575885692,-546.691027356,-3600.25113346,philosoraptor
7958.36694804,21344.2041257,2843.99421756,868.920035563,-7356.58750824,high_expectations_asian_father
32787.0733847,-2322.90588142,-4691.81710458,6906.20004971,10004.9913206,unpopular_opinion_puffin
21062.3897573,-9835.78959138,2341.01474899,56.612202156,-2557.78316565,unpopular_opinion_puffin
-11783.4530095,724.265377886,-2649.34814096,-9370.94286962,8435.43479565,sheltered_college_freshman
225.557212861,12737.1941868,-6236.26148703,-935.040275917,-4566.96114703,good_guy_greg
-14638.5595197,-1362.25185509,-5265.11124033,-3724.19113246,11122.5464351,college_liberal
-14815.5178891,-2289.09887456,-4909.88806927,-4894.85987539,10846.1383648,college_liberal
24905.3642842,-3678.58468524,-3949.18054464,4898.20569582,11963.334848,unpopular_opinion_puffin
-14686.122688,-765.704845462,-5227.54009755,-4001.30056633,11220.2702383,college_liberal
-19418.5869272,-11745.3099936,-8388.25502668,17586.8071511,1437.74388485,advice_god
-2318.77359453,12230.8604057,19.0265244952,-1836.4351569,-3828.86482115,confession_bear
-17707.6848161,-8901.70464718,-7835.5279548,15624.6781318,2587.38791731,advice_god
16909.5261698,-13118.3919392,5446.98043222,-5206.40489686,-8200.1580831,lazy_college_senior
-5754.14483301,6785.50754714,29193.9861412,12840.7834353,516.839079947,socially_awkward_penguin
-2817.37940797,7152.68855021,3067.15529108,-5533.04413346,-4380.80085469,confession_bear
33721.7958782,-6387.48101696,-158.607240697,3432.42156824,4579.35756862,bad_joke_eel
-2997.94216802,14461.675585,3128.6424206,-8768.15212621,10873.4086822,bad_luck_brian
-3536.49433397,7525.58737854,-6441.3581013,719.368403914,-5841.733903,business_cat
-15185.3056115,-3919.41163704,-3263.69052374,-5078.90463777,9637.89614943,college_liberal
2432.58950593,-13640.1823655,1704.98340192,-1854.37168288,-6258.31685582,evil_toddler
-1131.81342358,16309.2132542,3792.73225956,-7704.81342095,10732.5033337,bad_luck_brian
5629.09474933,20146.742396,2975.40432175,629.163164928,-5755.59922148,high_expectations_asian_father
