a,b,c,d,e,f,g,h,i,label
-14949.0211561,-1186.54142774,-5245.05817921,-3983.28667142,10792.8252479,4754.29340311,4797.9873478,6976.51969506,-1971.57008354,college_liberal
-11302.1683194,1560.26058599,-3458.39187139,-9620.98453045,9619.22109771,-9644.08585637,-7997.70736831,-8519.05033128,4330.06059587,sheltered_college_freshman
-11397.7152597,1544.20681365,-3203.45711144,-9068.2676122,9414.95400564,-9299.15323282,-8550.90106998,-8330.55209798,4471.60605914,sheltered_college_freshman
-4203.30091777,6239.53683283,28864.288641,12768.9765024,1812.57262524,201.169355483,-1486.67935652,5536.32095885,2037.35806248,socially_awkward_penguin
15214.9544229,1154.31322583,-12857.395954,6848.71157058,-8293.41966212,-17508.4822352,1328.76442467,14678.8017023,4990.13505591,paranoid_parrot
32887.829417,-5448.55953289,-1922.22675271,3557.46641509,7396.46578374,1201.78953188,-2035.37323804,-5289.95447134,-3316.29270379,bad_joke_eel
-20387.8241916,-15869.0632759,2934.70361,-2895.44550053,-179.014189118,3223.51074185,-3349.72787237,2337.36367776,-4509.36662165,first_day_on_the_internet_kid
31210.8426589,-4485.04854423,-2961.11022522,3728.66436531,9152.31396847,982.859963759,-2050.6851856,-5381.03592487,-1960.83937775,bad_joke_eel
1365.89733998,14082.0653717,7658.11330512,-6814.80668214,4698.27117026,-8854.29944445,3460.24629366,-2673.7596617,-38.3656595726,bad_luck_brian
10583.0745896,24979.9529233,-858.176846813,793.290420709,-7655.64750918,969.519224981,1656.38560923,-8581.16280294,-8282.31711276,high_expectations_asian_father
-2383.76750468,15444.2472162,2564.83092095,-8015.21846841,12980.4199786,-9044.38141101,3702.25132724,294.903792104,5214.50545026,bad_luck_brian
-14677.4255449,-1700.67170094,-5047.50978858,-4440.43458593,11143.2635494,4423.08865312,4401.7438806,6730.17059619,-1928.85980083,college_liberal
2500.16648996,18629.7386282,2739.94835141,-1686.56129462,-4819.83935137,-309.016592004,4038.75427554,-6376.53409709,-7816.0532874,high_expectations_asian_father
-18472.7615487,-14822.0502409,979.704812293,1095.82032352,-176.56574515,3259.06736742,2132.21174194,3403.38214859,-1318.15044028,overly_attached_girlfriend
-19263.223698,-11493.6809624,-7407.69315965,16012.4332626,992.553255736,-2801.07609329,8171.77806853,-8626.72493885,2468.5643142,advice_god
-2778.69845285,11557.2839084,-21.7622134332,-1434.30464481,-3421.31702131,6397.76456926,2704.8937811,973.096756007,-7610.0894106,philosoraptor
-2145.05975686,10729.4310178,1404.51305968,-3255.37957892,-4645.76130103,268.943207578,-2829.51587301,-2295.69316585,-1351.61806913,confession_bear
