a,b,c,d,e,f,g,h,i,j,k,l,label,m,n,o,p,q,r,s
15824.4677981,642.579977435,-14624.1774977,6721.88016757,-7000.37744947,-16244.0914929,2552.83602654,16315.4697085,407.789422521,-1996.36262946,190.381147301,-5215.10019957,paranoid_parrot,-1836.99831473,-186.719562359,-587.77522567,-1646.45136167,858.366948791,-226.261930446,1143.22538937
-4216.94193924,7287.00255322,28539.8543351,13303.8421162,1648.20336078,-1114.11367583,-1191.84697504,4839.80401504,2460.13073845,-465.407295351,1014.74563112,-2313.25041777,socially_awkward_penguin,1617.72221751,-1129.61187775,2275.91770223,-2711.31941871,195.650209209,508.390044053,1181.43257954
-13719.5599569,-6037.24052597,-51.6349435838,29.3396723149,-2127.65882721,-3202.85440613,-2787.79590416,-303.877992124,447.985570965,3266.88747647,851.105450971,-917.962823616,overly_attached_girlfriend,1087.83901365,3038.84013088,2560.17798991,1920.9682257,7454.12287238,6888.70963485,-2033.96851334
-8442.80370668,-11507.8465463,5142.80258734,-7709.843795,-6410.10928353,-1088.92916777,-2612.21455077,6002.57249603,-5012.38636257,-3320.48500998,3875.64838901,7579.52073287,minor_mistake_marvin,-2617.08810285,-2605.01754521,-4714.36138755,-1734.7058837,-4050.59855261,363.085289723,2931.39217595
-494.423350049,-6671.35767258,-3060.00135626,3234.80938807,-4022.59810949,130.091111487,-5080.56869006,2045.33186269,725.721635568,8.75251111407,884.241793959,-215.041685946,evil_toddler,-599.126962738,1836.29074506,-1226.19086298,-500.820852812,-4700.39369276,1245.72982224,3024.87387193
-4479.54307182,8593.91606565,-7049.65142804,1548.54941939,-5529.91960971,15112.3994206,-2373.47806732,1831.33708954,11676.0288072,-2737.63801888,2641.85509048,-410.083212938,business_cat,-1983.49568601,353.028361211,-6698.39497779,-52.1631066845,332.37174398,-2878.85322061,-2269.46791856
-11335.5281353,1739.66896338,-3348.6622507,-9384.53989427,9291.70548872,-9602.56668891,-7286.63662672,-8307.46838705,4798.89567471,-4021.89417659,9993.35398245,-5289.38436446,sheltered_college_freshman,-3595.28883191,-24.9164869808,3726.69666573,-2645.35259991,1347.72603582,997.80505311,-1417.87600417
2031.33920531,20805.9294555,-129.064228103,-715.391454656,47.4640967901,-901.864023887,2043.55306447,-6157.42459567,-5436.62515444,3339.5670002,-2904.50515969,-3533.97530523,high_expectations_asian_father,-4428.24359709,6125.1731329,-4128.43393513,4259.62662992,-2831.47494601,1680.55088732,1108.11538022
-3793.92028242,11731.1593636,265.227756173,-2819.20588747,-2682.96478701,173.754677784,-2697.19288473,-1234.31776352,-2353.03941901,-4354.13218076,-9383.08685116,-4413.87316124,confession_bear,-125.305617644,-9583.28917005,728.091502768,6063.20916982,-1124.81627996,793.789653114,-2073.88174125
-14949.0427088,-1186.92853599,-5245.25261311,-3979.70853136,10795.5617484,4759.49410086,4835.44655286,6974.30123673,-1930.56372765,9330.82227808,1141.60079119,-4492.22249489,college_liberal,4500.43286668,788.64877746,3008.83809388,722.203430005,-3495.85687307,-2318.20237971,-238.770744016
-11302.1711331,1560.56037142,-3459.46548347,-9626.47430641,9629.78755187,-9671.11326429,-8010.19147691,-8496.31277942,4318.25427659,-4081.35710568,10590.8686891,-5674.13319869,sheltered_college_freshman,-3415.52975359,-718.673051912,3766.04056195,-2494.81062609,1976.81241797,1140.69943199,-1173.66928341
-11397.7119723,1544.50049878,-3204.36368384,-9073.38080777,9421.14887981,-9318.59835031,-8568.37474061,-8313.35376054,4463.47344892,-3648.79295216,9707.46520422,-6129.70823576,sheltered_college_freshman,-3755.20754599,-387.813667427,3876.93375698,-2322.73492016,2117.20567518,702.056873239,-684.010212622
-4203.29668106,6240.03076575,28865.6136707,12770.5880427,1815.23782292,189.945997706,-1510.1062989,5571.67047992,2024.14228877,-71.2753432009,1158.7141274,-1166.53790223,socially_awkward_penguin,623.128128432,-563.594670357,942.9919495,-3453.46702779,-1212.37016083,1499.72200221,-734.838092696
15214.8933982,1153.54336154,-12861.2684959,6851.17763501,-8278.80666798,-17526.8506602,1395.3526536,14645.4662033,4969.88463169,696.213416169,1416.89330385,-4683.42452685,paranoid_parrot,-3294.44653826,3025.41916512,-700.31510401,-547.686519618,-1228.50466838,-171.967716449,-4360.80962738
32887.821316,-5449.06973387,-1923.05656374,3565.26941508,7372.04967173,1224.17993524,-1989.59262893,-5284.55993617,-3203.30931358,-1372.84105322,-4066.29092343,-4851.00120787,bad_joke_eel,6785.14638194,-293.471685721,-5873.2640204,-1229.81862674,1351.5345706,2279.09744567,-3378.10404428
-20387.726195,-15869.0888979,2934.68760832,-2894.64214553,-205.490497587,3218.85953929,-3388.78739679,2355.68269612,-4500.70763058,-6060.86709265,-969.316114836,-1940.39519026,first_day_on_the_internet_kid,-747.468108268,2873.10342137,1438.89785572,-3637.34434406,3651.00793593,-121.592201023,-220.687275677
31210.8121611,-4485.4385824,-2959.07644342,3739.6900224,9124.41218195,1043.62585878,-2019.90380629,-5376.20037328,-1938.69346262,-4291.68332944,-2598.70854598,-6455.72155921,bad_joke_eel,6125.08240382,-1036.03050233,-3494.80458576,-1143.01908837,-470.334672086,-2216.3455315,2624.25720019
1365.83547111,14082.6377864,7663.21638301,-6812.95081321,4726.6217108,-8819.26534528,3433.26065012,-2675.05147952,-249.291265323,2614.40921611,654.049488481,5984.8044249,bad_luck_brian,-1926.84381538,-2241.99178284,-6459.44388155,3571.76736846,-947.950189476,-3174.92517738,-1624.0433852
10583.0548536,24979.9270697,-859.573422262,797.098620282,-7646.53210664,939.534650803,1689.09047647,-8577.11577573,-8214.70920945,8001.80256507,1438.8286725,-1704.07039496,high_expectations_asian_father,-4607.9788322,9255.61987746,-3108.70295625,-157.981249304,-3209.95641488,3475.66736636,-380.824978654
-2383.73569954,15444.397191,2564.34331399,-8015.27658243,12975.8533571,-9047.17267977,3702.29380663,300.091733311,5214.82194991,-910.314944965,-4323.22216245,8611.20728986,bad_luck_brian,1222.37631768,1282.40845212,-5986.87284586,2056.27989171,226.448411287,866.492856461,1284.99424448
-14677.4799148,-1700.73747706,-5046.93883434,-4431.71790192,11147.578889,4439.38245523,4436.99382063,6737.58457122,-1927.84424567,9739.6990541,505.087874202,-4354.83373829,college_liberal,4841.63428562,1172.00592011,2249.55804456,235.422215666,-3626.60624284,-1567.000386,-1516.6411913
2500.0879394,18629.940796,2741.2120604,-1670.83044013,-4805.13350878,-315.535857687,4083.35241332,-6329.00460553,-7839.30689709,3215.06327776,-1376.48006913,-675.683654694,high_expectations_asian_father,-5327.30148945,5020.60891138,-4734.53672486,3712.73626651,-2655.39880727,4198.07820096,-818.251642773
-18472.8013521,-14821.2068195,982.226025581,1096.27404175,-138.955588438,3242.35765307,2128.21319444,3455.03240367,-1431.71329438,-983.737650375,1864.67670969,4059.54757604,overly_attached_girlfriend,1334.77297012,-2888.05063583,-6373.77860895,-1660.32455244,682.387003739,5050.94406935,-2304.22379952
-19263.2883458,-11493.8147845,-7407.65901061,16018.1438265,1016.44991113,-2798.41480764,8187.36838854,-8630.29960857,2380.12459365,2828.7415838,-859.169787992,2896.18370586,advice_god,-2513.09003785,-1559.02993503,291.857285578,-279.129503389,-3154.34663366,-680.073818551,-1608.07810296
-2778.63784367,11556.983059,-23.7415842197,-1438.19124948,-3443.30621853,6386.69352688,2708.4582791,960.916511029,-7495.72536596,3097.09449514,1974.77436607,267.255699653,philosoraptor,-2135.62761628,-5430.97275864,-318.635921089,-1465.94429839,8830.41615544,-597.618227303,-4843.35468454
-2145.15592806,10730.1891066,1406.21158109,-3250.76431576,-4607.01739408,278.600469065,-2851.0330051,-2275.17735845,-1610.34469379,-2796.95363182,-7990.17293711,-5187.96256589,confession_bear,381.975621913,-7258.11745375,381.26173032,3618.41044885,-196.422313375,1063.60622438,-3246.71909432
-18118.7096762,-11245.9430313,-291.824821363,-1441.31861141,463.162308563,2951.441312,-1474.25352685,4593.26535319,-2895.8551452,-598.707177994,1352.04184641,-121.551719792,minor_mistake_marvin,-1568.61741022,-2394.71088081,-5093.23234442,1513.66969132,-54.1113908216,6804.12678315,6896.26000564
-899.525444792,10636.4932766,-191.425167186,-565.457250869,-3575.20240865,4722.2812491,1427.73167176,444.951307124,-4295.93570226,4182.07692128,2515.39488339,-2093.06937037,philosoraptor,-2665.01920949,-1259.70810107,-82.7136677538,-1106.08457748,1691.23996094,317.942516682,-4486.28028728
7958.30585543,21342.833525,2839.87902952,905.881452737,-7348.37837201,147.001316176,3296.30347967,-7675.71665533,-10028.9137727,5558.61056015,3081.33136638,-2665.08670914,high_expectations_asian_father,-2770.12274529,5688.63408312,-3553.182738,-959.576564517,-1270.8708739,2139.61449214,4845.19832686
32787.2883011,-2320.36825648,-4695.08761017,6804.48221428,10020.180435,5703.20872523,-3679.26677057,2110.66336806,-6286.12141316,-3649.11400926,3619.68787451,9518.94499223,unpopular_opinion_puffin,-3251.77353917,326.442718713,598.544890612,2892.84780002,2599.1331328,2696.39187568,-4478.27427866
21062.6470356,-9832.91754404,2343.3847301,99.6774011132,-2536.84781707,-1025.73020406,-3459.56152148,-4359.53502689,7429.89219304,12389.5202169,1630.39892944,319.072005703,unpopular_opinion_puffin,-3181.10388649,2245.67939754,-303.700220666,529.740107374,1119.9407303,1080.56934259,-5292.06261856
-11783.4312315,725.101102678,-2652.06427245,-9395.02211604,8468.26910425,-8236.29560366,-8174.00950409,-6988.55962185,3234.76319408,-4965.27314018,10302.7935804,-3083.60600954,sheltered_college_freshman,-3218.65793796,-2398.30719709,3934.61163963,-1808.9787929,1901.59357503,933.468116871,152.977400501
225.455131379,12736.4867189,-6239.36272408,-955.639121341,-4556.29452286,1922.19972787,-2882.26606799,-896.218322483,-1405.60037182,1194.09059903,-2904.44709318,5255.04328883,good_guy_greg,4418.89886422,-914.861408829,6040.44738681,-6127.37135947,-3239.97132228,2935.3448576,61.0732076699
-14638.6006188,-1363.29435969,-5264.46849881,-3669.18258839,11123.4131605,4212.32132249,4261.79649346,6414.09967115,-1667.8962128,9072.18395475,984.167408049,-4522.79996396,college_liberal,4372.2276984,856.304043518,2757.47892877,174.502295304,-2700.61995054,-2262.06567588,-266.3128873
-14815.5073173,-2289.44228937,-4910.31537918,-4862.71430848,10852.407839,4775.39032925,5783.97993753,7539.08946333,-2436.32881937,8428.7274986,1466.03920952,-3250.42848092,college_liberal,5459.26343258,480.677808831,2490.40238689,581.773996722,-3576.2777475,-1564.53852963,-408.939639765
24905.113449,-3680.82629883,-3940.44850804,4735.15619189,11793.0955097,9151.51261587,-3743.83726225,5309.81068828,-4061.13414444,-5053.82573333,3052.70537735,10389.8604274,unpopular_opinion_puffin,-8462.16523608,1293.10924318,7083.74270739,5478.53813006,-2149.42319875,-4361.33021171,3601.36919385
