a,b,c,d,e,f,label
7583.94081383,-3744.6671174,-6204.08774291,323.280567215,-1946.12360551,889.715662915,philosoraptor
-2554.85165779,11631.2750579,462.693306156,-2808.5073142,-4004.24670867,1693.72284539,confession_bear
-18009.3230114,-12679.9268542,2855.69760955,-4444.56714153,-1495.4875387,1182.09598915,first_day_on_the_internet_kid
19070.5919798,-15648.4467058,8552.86027422,-7189.73347043,-3672.87353398,1337.41687555,sudden_clarity_clarence
24613.7363023,-8402.01525325,-10453.1781338,4359.72750474,425.041693594,13651.4808141,business_cat
-17744.942836,-10509.9060297,-750.266604222,1953.70147701,-2138.32445999,2644.3289993,minor_mistake_marvin
5212.38494786,18924.8198149,4500.81214941,-240.662459924,-6725.86533666,1623.27555841,high_expectations_asian_father
-3626.26069088,7288.73559358,-6917.32721468,360.885621303,-7793.05335749,-9583.57912318,paranoid_parrot
32853.0417795,-5334.51962454,-2692.30570404,4045.25701527,9696.54780036,687.224591455,bad_joke_eel
31959.6477868,-7328.29364607,-888.197233265,3497.63485328,8822.03425433,1287.58976374,bad_joke_eel
6526.99965538,21369.7301928,2638.43076634,234.129489993,-6572.09220152,3052.93286587,high_expectations_asian_father
-14767.5982339,-1664.54013093,-5284.44023176,-4409.49623386,10907.1051567,4527.99281789,college_liberal
-11262.9190902,1582.90499585,-3394.12024402,-9310.01097361,9354.13029016,-9387.69271133,sheltered_college_freshman
-7313.12147477,509.002219901,63.5477069592,-3088.93147945,-2939.57921416,-4112.77443114,sheltered_college_freshman
24819.6614112,-5791.17353795,-4753.45601585,6142.9605735,14342.7216292,8950.38368766,unpopular_opinion_puffin
32121.6469181,-3827.18542457,-1118.49234169,2311.39730029,7712.5427253,34.4307013695,bad_joke_eel
-2481.64921679,11633.3142824,-230.772948215,-927.563278134,-3973.93336622,6163.57227547,philosoraptor
-19032.1606716,-13849.778416,1962.55379998,-2898.36579187,1722.44215519,1105.90317658,first_day_on_the_internet_kid
-2765.44572052,13207.0138122,-6201.25455127,-2670.63162354,-3591.51318872,1928.20430479,good_guy_greg
-2880.86637803,14343.1273418,3485.59760167,-8207.83720156,11998.7784579,-8867.66158019,bad_luck_brian
-19165.778569,-11742.9065588,-8586.9481101,17439.1100654,1786.998923,-2499.35465529,advice_god
-11116.2251098,1809.42858466,-2663.34192246,-8781.71794616,8877.87805607,-9398.8011072,sheltered_college_freshman
-7423.52707741,-96.7498143044,-292.279851168,-4163.0309473,-2842.55327499,-2789.56387986,sheltered_college_freshman
-18731.4830723,-12351.8953575,-600.61746177,2205.43757504,-2482.85646681,4338.8500796,minor_mistake_marvin
