a,b,c,d,e,f,g,h,i,j,k,l,label,m,n,o,p,q,r,s,t,u
29434.98458,-1965.58424257,-5655.75692611,6203.38047257,8640.64271561,6915.01768863,-6365.72737502,2749.99557059,252.865780365,-950.999021156,914.539554589,8304.61551817,unpopular_opinion_puffin,-8852.76306917,3209.47511436,8109.75626926,7442.57651246,-2411.94940548,-3867.82941764,3741.22195767,-2585.12656451,-2842.76206659
34628.718786,-6600.01697143,-1663.81895754,7244.21066453,6609.40475713,589.082794661,-4817.39985522,-4499.57265435,-3599.73001993,-4979.50542673,-227.784904206,-3424.012033,bad_joke_eel,4686.86807824,1806.84172274,-5265.38024883,-301.544846485,-5255.50513402,540.739542799,-3778.99184879,-4083.23151656,-3296.64531936
31756.0007962,-5883.73346796,-2539.38024291,3935.70408498,9868.32170156,1657.3065155,-323.76091811,-3620.97017776,-5690.59225698,-6987.95393891,-2473.35168917,-5813.05293114,bad_joke_eel,7319.38068953,-2866.28567298,-4484.37930052,-2098.12971143,-132.316931226,1612.37123426,1516.380726,3113.22364149,-2861.81348976
-3592.11372314,15220.0672847,3452.47300056,-9039.61544868,10480.8635436,-7287.52347278,2881.90682911,317.292438498,6650.65378951,1576.40533732,-5168.87216448,9313.41667804,bad_luck_brian,-1049.28823453,1854.2100412,-4291.83954911,2309.31811429,1222.19175723,-0.569074547274,2308.77384555,-2119.26263532,149.973074894
-19285.4975995,-11870.4939591,-7691.9981649,17019.1661281,1465.46886454,-2570.77478495,7906.64815941,-8426.86118192,214.388970356,704.245753309,-203.702083363,2937.90728867,advice_god,-1825.8713971,-3424.54069771,452.484894367,-139.666206576,390.596832702,-296.183392079,330.102672226,-700.205501352,638.87770765
26380.9117522,-15127.7699012,2826.72444409,-1285.24905868,-6174.83499091,-427.065318022,-2986.48266615,-5071.05431625,6753.16271709,5096.34964724,-8130.84049227,-6135.95708033,sudden_clarity_clarence,-7968.80565006,13256.3487378,5185.50343421,9571.96293243,-97.672560881,1068.95631616,-9088.25028391,820.107403821,3138.37242586
-3316.6869092,13352.9434331,4270.73391325,-10414.2701161,10711.5783385,-9299.88974726,4814.79469976,-164.33621993,6411.79519593,1804.97418045,-4858.38480026,7916.33325053,bad_luck_brian,815.77044909,416.865476227,-4428.5950082,841.803347948,2790.75279492,-1602.11431772,3179.53404897,304.761284891,-8.71240070657
-3625.79116806,15108.3351464,2309.31383299,-7010.34373945,11708.2271859,-6824.97753786,2174.46453843,1516.6866845,4304.79004877,-997.463749811,-4807.48098978,9694.73266144,bad_luck_brian,-1333.86746593,2790.52645906,-5021.49345113,2926.51564825,-1905.7290647,1479.30847261,348.026248881,-2530.42224445,357.399854931
-18180.3975396,-12709.9146112,3072.14507813,-4520.257844,-1904.60712487,2458.26639194,-2838.21436965,1332.75004098,-5801.02033746,-7800.05488811,-6659.21882933,980.040874447,first_day_on_the_internet_kid,-1982.10755173,4994.00581082,-988.731679796,-4571.52731605,286.748967102,-6033.49795425,1552.41679235,-783.009068342,-996.711950579
14212.5799278,-12241.583889,3906.95474577,-2744.42978843,-7202.39235786,514.809371657,-6350.11478252,-4260.65385802,6468.15138124,9916.43381157,-4850.2480778,979.181039413,lazy_college_senior,2210.06472844,-7244.8140015,3393.14357185,-1592.49140403,4884.9364033,-565.596164925,7080.3138238,5478.20156203,4168.90659943
7583.98688245,-3744.06879537,-6199.70295873,323.939015563,-1949.80325854,879.464510899,-2598.59586813,1631.42192095,-3921.34216655,1239.87480809,2090.75061654,-3231.29476128,philosoraptor,-3421.28642402,-137.084544606,-1874.58281913,-2249.80815758,758.855599482,1094.9287171,-1834.84663203,-3985.3227937,-1963.92538512
-2554.77103874,11630.5143306,474.47971394,-2858.65569565,-4095.03427016,1948.8143359,-1133.21414114,-422.198713856,-2213.46951511,-5203.11893456,-8180.29201952,-2869.38473041,confession_bear,1129.95480067,-7962.1509879,1123.53763317,3881.95662099,-1730.97161466,2829.72076204,-1902.0680684,-6628.46003505,2947.72116491
-18009.3675702,-12679.7914248,2854.80818773,-4420.22450243,-1457.46548821,1037.02210575,-2895.16467117,1572.27097348,-5843.93885544,-6375.83058725,-7160.50092292,1128.4269774,first_day_on_the_internet_kid,-891.17932774,6395.95510022,-2257.31233272,-5274.61601687,-762.527165647,-5022.94239762,-2132.72940869,-990.978665011,-27.244139281
19070.5454162,-15649.4988785,8557.86545865,-7213.58971152,-3594.35366345,1151.53208438,9756.97440498,-636.814649161,-2378.38395102,1992.56487416,2225.2779047,4176.43425852,sudden_clarity_clarence,-216.45669764,947.154830819,-6189.85422078,-3302.79049034,-3108.24844636,4451.83733755,-10702.8993365,-6152.9878648,12256.9076939
24613.8133722,-8401.63094252,-10444.9139882,4335.83008119,369.029233832,13641.195068,-6081.24213708,5401.48530711,18970.8522383,3512.71166251,-2323.12338161,-3975.77179108,business_cat,-2727.05279183,5899.0818511,-3276.00506061,-2732.89998517,3694.02028791,1491.69897834,-555.878669352,-8663.28029334,225.314295648
-17744.9609171,-10511.1721034,-746.844985739,1906.31543016,-2169.75584323,2779.42603892,-3292.97309033,1472.5408523,-1431.75882649,-4158.70990701,-2142.10069486,-3005.77813316,minor_mistake_marvin,-374.916532023,-501.39412652,-3876.00928819,5486.64511457,-1149.36635026,8162.90521436,3364.0419834,79.8124200891,3122.78559247
5212.41468276,18924.768002,4504.78165678,-269.867015246,-6795.88134666,1684.88280701,5118.22954744,-6203.77324192,-12297.1612005,3918.84465723,5762.60860617,-831.881853503,high_expectations_asian_father,-2915.27243744,1680.95677106,-3706.5517341,-827.363479335,1904.90873591,-55.7714743625,6027.10253886,-628.256718104,4845.66043023
-3626.32971058,7285.22669876,-6912.78012132,346.95902804,-7824.73890932,-9515.33692671,2162.96845537,3512.15163531,1124.62116459,1751.41413625,-2769.6771929,-197.530828758,paranoid_parrot,-1935.04511967,-2068.36022688,-1846.72624604,4609.06041441,3179.39025876,-4267.66818443,-1293.28593156,11861.7122029,2002.50053916
32853.0792545,-5335.27421569,-2688.9796403,4023.60604598,9585.69886221,954.374372736,-938.398831564,-5202.09386748,-3655.69861476,-5666.48675045,-2414.01524094,-7018.58069258,bad_joke_eel,7021.92402372,-3254.15236739,-3786.42232761,-1444.51551252,1519.54145455,-2858.19651524,4123.08658733,5563.98610465,-3291.68451103
31959.636015,-7328.77924777,-893.912093612,3474.33441603,8783.55400915,1338.91044504,-731.163609682,-4031.07269181,-4378.64556903,-4432.38220251,-164.6845182,-5980.78176566,bad_joke_eel,4710.97605161,459.838939872,-6297.88822155,-417.9688762,1.0308124459,2171.71504325,-2638.2117775,4728.90969627,-2855.78667239
6527.06752188,21371.8788995,2630.41572605,237.40986873,-6524.85012792,2923.48475205,3897.6365565,-5138.12154328,-11346.6322989,2821.77223614,2115.95081776,111.949402761,high_expectations_asian_father,-4276.06493492,6905.94528908,-3144.11870651,-30.317929472,-3447.0283676,5582.5630172,1997.26580951,-6175.13737286,2180.4045518
-14767.5636877,-1662.86372199,-5287.40293008,-4382.29114138,10894.5591493,4524.03411318,5043.35715872,6800.26655738,-2336.47514025,8760.16127665,1245.4439095,-5477.93367537,college_liberal,5040.72477675,143.119363666,2632.38471952,1423.73672786,-3336.09043025,-3543.0532855,1687.47455011,695.377025131,657.703094945
-11262.9198891,1582.68546509,-3390.49431434,-9305.22158914,9374.36645774,-9310.53078503,-7514.39391714,-7950.70754278,4196.82561326,-4154.56602028,10080.1461115,-5922.18233904,sheltered_college_freshman,-3322.26217602,-902.246525046,3690.60812405,-1862.46417455,1493.75691554,758.9505215,-1278.1615089,-806.086304969,519.185470461
-7313.07573096,509.537987806,74.9245351573,-3065.97387434,-2977.93250174,-3986.74133316,-7348.54213889,-4424.63696676,-3928.66173239,-7653.82515911,3743.3685265,-566.543809954,sheltered_college_freshman,-539.273191602,-3986.41538087,1172.45618536,-4043.72972883,-2704.5274707,-9414.51128526,4127.42909134,-2994.15960902,2910.09860623
24819.6282188,-5790.07524479,-4759.06687948,6173.43216916,14363.9111849,8876.02921379,-5681.29938721,7029.22589635,-7061.22565011,-7276.95966074,4021.72755964,7659.98750963,unpopular_opinion_puffin,-10113.518544,782.795232136,4244.05656999,7295.97565115,-1792.31607536,-991.210361782,-1926.46446067,1352.69118212,-1560.99447362
32121.6824404,-3827.38173382,-1118.16759159,2318.75810367,7738.07964122,115.659061545,3450.30408808,-5088.97243188,-1640.79833171,-3725.94365838,-1210.06471736,-2389.35560563,bad_joke_eel,7960.5501067,-87.8860769072,-5919.02530414,-2475.43296406,-2643.48928534,2324.97104934,-2619.32121175,-1075.41190593,-3089.30767993
-2481.65481338,11631.7959156,-220.205723878,-933.636500166,-4013.67221291,6233.75611083,2444.93912786,624.421960298,-6496.53046353,2555.97473877,2899.64357546,-1164.87664472,philosoraptor,-3121.76422226,-5165.3240693,554.267443789,-28.7648716668,5490.66686463,-1575.55499725,-5282.52034176,544.431290526,-3234.10351738
-19032.3239472,-13851.5704163,1959.14554262,-2886.84911301,1806.88271487,888.298525781,-2379.1413664,672.113281631,-2854.22970314,-4197.26895558,-4321.82566798,-3587.63654033,first_day_on_the_internet_kid,412.144103354,6583.93781549,1331.37965275,-5209.93443368,4141.30954498,1207.88004572,-2895.27884542,3793.72309585,954.875682329
-2765.4637179,13207.357048,-6209.61328427,-2641.19551983,-3558.08031321,1807.97884029,-4817.12591599,-2642.03597859,4492.39141711,3042.62373951,-4415.49966053,2835.3485614,good_guy_greg,846.258671998,907.426561852,6707.66481117,1605.78947113,-3259.82446935,-467.884061802,-1389.84173364,5528.35748925,-2620.67359124
-2880.91447777,14343.2873128,3474.12970508,-8191.24811822,12099.7273338,-9013.93184139,4274.59227377,-197.590819447,6324.51952591,937.742909125,-4541.25310545,9035.05461063,bad_luck_brian,-1844.13713783,5993.93782121,-5049.9478185,2167.80215996,-714.636010074,1436.63587593,-1311.99094775,679.32141513,-3220.18490783
-19165.7763778,-11742.5657937,-8588.98854589,17446.6611028,1818.68343429,-2545.3609653,9314.84865523,-9170.50140843,1787.43791267,884.619132913,-1054.47247758,2789.85306214,advice_god,-2165.32763306,-1279.3793512,963.815441502,-601.349551401,-1424.61476774,367.198250404,-1308.34953577,-1403.02017727,-1658.6993971
-11116.2367752,1809.15919837,-2660.41529073,-8776.58811922,8903.307601,-9337.1223441,-8102.00104961,-8167.94019648,4568.48722135,-4054.83626665,8484.39055755,-5544.95487865,sheltered_college_freshman,-3840.485942,-286.140038111,3187.01012344,-1555.75167244,1453.16305605,740.506597227,-1479.98061332,-226.665686185,286.958446411
-7423.46046469,-95.9997289357,-280.121242394,-4136.82230529,-2884.15847795,-2647.22810442,-8130.81070258,-4186.0170522,-4889.69173582,-8857.36149352,4931.90081599,-286.615983933,sheltered_college_freshman,-587.884198246,-5075.40087408,2090.0020005,-5138.51689135,-2132.35083891,-9457.1755543,4018.64710855,-3770.13172805,2106.41096179
-18731.5158459,-12352.9805358,-599.94195535,2160.82198691,-2495.43690542,4433.15885574,-4052.94118015,2907.21932722,-2395.64579883,-5914.24185808,-1535.4824957,-2616.22918285,minor_mistake_marvin,-1152.69973287,-579.000585721,-3801.21172564,4811.67930764,-1261.07092116,9394.09352449,2505.22917338,417.073773801,1646.85851939
141.842801014,15760.8845245,3969.63276165,-2652.83832345,-2395.13737409,826.807850717,3380.54260886,-3766.96252606,-9678.17305192,5695.50529815,-100.597913226,757.071402641,high_expectations_asian_father,-7436.44336876,4020.39872147,-6232.15942996,3586.30444592,-1082.5606231,-496.985062475,682.588157021,2330.95535116,1646.18297537
-15070.8603488,-1707.03928851,-5091.10200261,-4168.23476601,10594.0379194,4837.2358448,4121.83026958,6767.57865589,-2738.90635298,8917.68939463,353.670004953,-5033.98894188,college_liberal,4694.4342155,-562.118366821,2966.91544967,1093.86622159,-2092.64557143,-2131.68865341,1085.27561811,85.4263780244,2525.79525602
24311.2830009,-5730.77538611,-4279.37730048,4915.94634784,12195.1457812,9934.33640954,-6017.74147055,7451.46108664,-4440.04892547,-5846.34589895,2478.08395254,10627.7410879,unpopular_opinion_puffin,-9992.11220275,881.440722518,6216.63649983,5488.56919853,-1462.61586116,-981.470544933,2645.04867958,-2255.15788922,-5990.95460711
-19276.9339761,-14813.3437609,2576.82275081,-4540.49430349,-146.491937714,1593.79165992,-1326.07276161,859.029829841,-2428.72178613,-4231.68267215,-4737.46135575,-3036.54106021,first_day_on_the_internet_kid,1997.82790931,3857.8242957,2322.64567972,-5432.91573335,6986.40930784,458.667019737,87.9244432922,3722.82166064,1212.22673146
-15109.2962882,-1946.00839581,-5066.78019376,-4052.07490585,10717.4857441,4588.09251795,4720.13823126,6655.6341625,-2452.96580944,8379.90273121,869.267219037,-4368.88796361,college_liberal,4648.93123185,-160.852293024,2820.14880083,778.917645434,-2294.73062329,-1890.62849169,1227.00284247,-136.654331805,1832.33486998
-1751.44539301,12594.3339452,-159.60815703,-1578.95216876,-3982.66511748,4916.31950048,3769.46682009,-383.261365614,-6406.36521048,2360.31415214,2561.92486768,-279.598524568,philosoraptor,-1700.68035776,-5343.69038755,681.948426752,-1233.05926187,7008.52842959,-1194.88482187,-4974.37509847,-652.429045513,-3335.4392923
-3386.6672243,14718.8190554,3127.55566579,-7823.91348796,10844.4783722,-7821.07434548,666.273920424,-1069.87816046,5440.19826846,-139.625896156,-3808.29213377,6758.04814146,bad_luck_brian,-977.239336596,310.972532553,-3714.80331103,2849.51775379,4087.18466652,-1891.78189709,3689.42202947,2373.71535606,-402.78054279
9087.46756677,5815.31705535,-8489.91092683,-3207.60412157,-3658.53086312,5072.55680835,972.188008597,7322.10067724,2480.46399479,3532.73058612,-1795.80864931,-2217.53839329,business_cat,1149.86391092,-1207.36111986,-187.753873924,-200.077389494,3981.11558482,7079.24141138,1528.19699568,-1399.86589614,-3360.11428967
15619.3753361,1639.26306203,-14212.2339755,7313.99273631,-3773.04260032,-16277.6576926,3634.97941899,16218.3560675,-1092.37041876,-2287.31930589,960.226416825,-4255.91631997,paranoid_parrot,-1454.57585591,752.56137552,-2799.49559368,-2562.64352364,2748.85467629,68.2709523752,-1475.92702067,-1223.78890162,3397.20091743
-19674.6630751,-12424.0962197,-7003.21606723,16957.2324759,578.910096018,-1515.50340798,8398.51758081,-8331.61194225,1284.21113838,356.102579415,-598.547412378,4347.23466206,advice_god,-2484.16274979,-2289.03099578,1161.37559902,520.636442426,-2169.0345624,-646.522401231,153.284465728,-1688.53401194,-2081.59388349
-14994.1316269,-1294.72493777,-5322.64116676,-3654.54342527,10768.1829985,4694.92724757,4820.32772274,6557.82909031,-1624.77887544,9694.2023588,1046.61576109,-5307.95243093,college_liberal,4019.18886319,1076.00100324,2958.9513707,1173.96486716,-3921.36937961,-1945.07712739,265.573217538,-235.862132916,1508.42250536
-7968.26126519,7211.51173477,-1083.07916819,-2884.43931589,2781.98402024,2336.05638791,3424.78424862,818.974624981,-1618.75389837,1597.17642397,942.735915565,869.746599924,philosoraptor,-3002.61332062,-4720.16095132,-1632.40291605,2518.40211438,6656.43060919,-1198.8858183,-1897.78163746,3490.85803166,-4610.66797914
1004.78498228,-13144.0529386,1453.7894365,-3151.94997143,-5579.26904071,-679.87384402,-5865.60337985,1060.67597115,1480.96924742,4290.80921509,3715.18383829,4196.96341136,evil_toddler,-919.830039551,-5804.69110515,-3226.38631515,-1262.99474081,-2211.65226656,133.111942182,858.353439545,3240.52452728,-1525.54887653
-511.547435627,11711.7150105,-343.973164592,-1171.47479793,-3212.51190157,4476.51990368,2894.51317159,431.386619758,-5638.48561302,4419.02803276,1780.25368148,-337.909609091,philosoraptor,-1549.73717187,-2809.82942287,-999.335554655,-2254.59326743,5026.69626276,387.947319847,-5591.34735635,-683.047625383,-1977.1502765
1102.59171389,-12877.0205518,1139.91764509,-2653.36341046,-5747.3320882,-631.607519604,-7985.02190894,990.665687132,2679.46203932,5870.22278255,2905.14942605,2613.24082551,evil_toddler,-2602.32835699,-4577.86919822,-3710.61963094,-363.249927273,-5082.45264048,-498.184772731,265.022954515,4588.69413296,-2272.35284078
-19416.9664318,-11686.7796465,-8717.17106591,18095.5613906,2793.14167254,-3836.88705432,8933.94239732,-9487.40506722,917.282990411,1593.61407903,-440.236067328,2401.03917554,advice_god,-2306.65652608,-1938.13601464,-435.602065586,-621.949007735,-1613.56649588,31.1669462125,-1859.20582206,-516.067624605,553.565051564
-1650.11351264,12079.3560568,-5062.10012009,-2707.59403256,-5908.23859968,979.622448737,-4178.63999698,-2944.4630086,1826.14872952,2160.56428594,-3019.75837854,4702.42368589,good_guy_greg,1150.80538573,1355.48157051,6716.36765404,-136.049182724,-2457.16990063,-22.3483016104,-1451.32789308,8384.47415799,-1922.32933284
-2436.83345932,11068.2634442,249.897664481,-1198.00230213,-3880.3445809,6221.7590784,4154.78290121,1017.49957576,-6344.26621924,1485.98196207,4237.64333817,305.195145698,philosoraptor,-2812.17420351,-4131.76581504,511.350373144,-703.832889794,3088.47256119,-1534.66668463,-5195.30460878,-1528.15508922,-6090.50226597
-19180.9424026,-11032.710743,-8346.96836587,16839.8693009,2414.99550373,-3504.80100862,8116.16527309,-10846.5415923,1674.53770874,1471.73631034,-2292.98956723,2488.11396708,advice_god,-4312.55043222,-1818.29551545,1507.80050142,-1347.11667998,-822.541634521,-772.30441669,-939.901716199,859.210804593,-1298.00408082
-14818.1637342,-1297.62968223,-4698.53329992,-3321.08295362,10506.2516131,4255.65228872,3781.17596715,6841.46857447,-1611.62540498,9116.33345604,51.8587872125,-4591.47478576,college_liberal,3723.47165927,1662.71463701,2562.0754061,1550.55704307,-3847.87992799,-1833.00676139,-1117.23543475,-1142.17045257,1459.41053292
19002.2328512,-18427.203222,9631.73646728,-12937.5768079,-6466.34569477,-1557.34053426,17524.1244851,-2833.0991287,5717.11405704,-4808.66265966,5200.63813151,-1305.81250401,sudden_clarity_clarence,421.587823185,1452.42493934,5523.2216471,2657.88971587,-4216.18288675,-1406.06945488,1248.24524302,-2349.20550097,-4021.30130743
17232.2165427,3517.51144984,-7005.71034808,1491.79838602,-3060.13456815,-736.855142503,-6686.37175167,3666.8546918,-34.5973829515,530.199207102,-4448.80708462,539.663574504,good_guy_greg,1095.84339771,2268.5212894,1522.40344457,-4029.58674592,-4602.20755253,7079.77986077,1484.55879227,-5913.58435494,-7050.34983505
18440.416437,-18796.1627288,10132.8723167,-12263.7107068,-5245.72032549,-481.67642923,16226.7351296,-2061.23166873,4453.55815317,-5269.37432406,4433.02115777,-723.520142533,sudden_clarity_clarence,-488.413458751,628.998698903,5438.94303395,3393.81815978,-3208.23266076,-1661.32548868,3574.70039516,-401.168144905,-3457.30375703
2258.45959699,-13387.7054087,1296.80271576,-1864.69442316,-5071.8533489,-1675.52179352,-8423.06551669,1254.29105148,1495.3476586,6500.78871318,3650.26457364,2370.85487844,evil_toddler,-1365.57125064,-4464.92770675,-5996.52573701,-2080.23175452,-5089.96385735,880.593389559,-2192.42150258,4022.92031321,-733.02296209
-4565.67306156,9591.39616129,1643.00513294,-4033.29390684,-2924.25978528,1132.76501856,175.482135341,-466.787755014,-3351.47546189,-5291.24679367,-6545.00470312,-3458.47526496,confession_bear,-65.872170534,-11993.0923367,748.002985971,6229.7846506,-128.643850124,-294.317998232,873.559362364,-2245.21229898,3283.9175761
20384.3751146,-18332.5082891,9970.07378149,-13194.9851896,-5655.05406822,-509.88457404,16969.881054,-2335.80877202,3533.13152671,-4996.23413424,2691.08811785,-709.445517238,sudden_clarity_clarence,1582.63358179,-949.582420783,5634.61796195,2467.50812294,-423.099734305,-1460.24735791,3990.13262809,1062.90682227,-1901.07265647
-2692.03278992,10849.2478645,-8167.24586884,-61.2238574474,-5219.13850125,17091.6528763,1486.82643313,944.327246962,16379.0848191,-4677.04156769,3787.20903221,-825.278156079,business_cat,648.954325647,2385.87125181,-5106.75096051,-1274.19617908,561.798001091,-2675.5947727,580.399400551,-528.382440952,827.596230274
-50.6496642967,12266.8272668,7065.77944645,-1300.19011324,2327.20878769,4714.11105675,3740.29662932,46.5978198833,1999.42575489,-272.7483421,-757.947329491,-3580.78334151,religion_pigeon,-13334.9793769,-4807.56679715,-1328.88569695,-11711.9437964,-5292.18328352,203.83318123,1842.29569392,-986.654041653,1168.52182793
-18367.6401308,-11211.1507326,-1025.04132187,1770.35242242,-2580.55078273,3586.95070675,-3623.48766999,1927.33997954,-1565.46613254,-4718.17659412,-2321.19009333,-3382.8304157,minor_mistake_marvin,-767.321498608,-699.156864082,-2318.03074455,5618.48660217,-1115.87489773,8424.28601547,3257.96922318,523.369612595,2421.90495773
-17527.618369,-12094.7675451,2470.82550219,-4289.58519218,-186.413260282,892.514725901,-1512.72557824,1504.26725942,-5869.81667861,-6373.80890612,-6868.59673909,1215.30257938,first_day_on_the_internet_kid,-269.301712015,7040.52610757,-2284.60097371,-5523.07189281,-718.659277571,-5119.29222656,-1910.16034514,-330.170044524,-1398.49360006
950.306947119,4428.88191487,30424.6698363,13615.0409825,2927.02187375,39.5657185179,-2900.40436761,1226.55711701,4991.96457527,3804.40263197,-881.905072258,-2185.40055604,socially_awkward_penguin,1782.85747057,1755.99837298,3430.41004259,-2141.62772971,3812.40426481,1194.90155013,607.597604119,2544.52549723,2607.3756734
30476.3206927,-3877.96854619,-5279.41094351,6207.06087385,9675.16724679,5993.7264092,-5911.89641021,4148.33847106,-2875.87769488,-785.340364012,1761.58920695,6447.33945442,unpopular_opinion_puffin,-5133.49056507,-1786.05884096,4742.66858503,1167.12674448,4234.83396313,-1880.59258618,2218.59791898,-2088.20137757,6042.5655227
-4982.08305373,4177.07503858,-4843.93119174,-2005.925383,-2601.62048658,-8397.48925808,4526.83896823,3248.6117743,-981.373145415,377.655532661,179.700623212,4211.53917155,paranoid_parrot,-106.814929151,-4455.48690605,-4913.1730131,2881.67960581,2292.81029841,-4147.72149869,-2006.58072555,8213.97218752,2593.69949244
-18428.8753056,-13052.8233537,2944.13093257,-4253.38714126,-1589.70388581,1858.7286603,-4000.92891373,920.485453772,-5138.23009447,-5612.05382415,-7360.82879214,498.204004135,first_day_on_the_internet_kid,-2157.55132569,6772.46732646,-2098.13213748,-4398.53759452,82.1670342562,-5240.85772676,-2042.60455889,-791.677088312,-610.278513081
522.068024758,11732.3409262,-5993.9980436,-2834.46774241,-4079.90836579,2126.7538261,-1107.328936,185.713924951,-1266.38833932,-1595.69339039,-1707.58830307,8814.6440456,good_guy_greg,5840.62008002,9.06294236184,5796.01700537,-7659.31035279,-5432.30645401,7087.13103925,-2816.50734503,147.09130465,-1135.23364679
11146.7187291,-13914.0502613,4564.43639238,-3847.92411145,-6624.23639182,-11.3038907563,-7777.81033153,-3085.54821334,945.53435801,15693.2377778,-4390.00931654,676.668330857,lazy_college_senior,224.280868393,-5704.39646217,-2399.12060759,-1566.90857958,4277.39039737,-5613.18219269,6035.83093749,-6083.38972525,-1420.65958756
-20048.5527338,-14642.7637006,2391.29394975,-2645.24226041,264.190700421,3481.04745353,-4192.43856727,1312.23225958,-1661.63981579,-3246.71668963,-3781.07582383,-2996.05654436,first_day_on_the_internet_kid,-1668.02688883,6998.69976089,2933.19812648,-3205.9136631,2632.27328589,1270.8627563,-3239.28950262,3239.62658369,-711.722937488
-3106.77357184,10325.9584035,-8006.94290077,705.74337087,-4574.45777249,16701.7692931,1671.14484412,1338.66542802,14249.1417757,-5117.47078562,4636.74475313,-345.128534089,business_cat,451.942565338,1807.494169,-4505.72836077,-996.144035788,921.601232595,-1868.0624843,651.511433554,-525.343547278,28.7986380925
-3589.17917362,13601.5349782,4475.46549511,-8936.82886514,9998.83667935,-7183.70623883,4394.08121775,720.701478818,4175.80178392,1989.0846403,-4027.98268266,10578.2265423,bad_luck_brian,-1107.4960312,1194.41050962,-5648.34816607,382.044846061,-42.0203410561,2187.9374562,-1239.53407346,-3652.15910487,833.289161243
33761.0587902,-5255.96293019,-1151.74281422,1737.38460182,7444.99057115,-836.98818341,1537.43413017,-5405.06477243,-857.772147307,-646.26669122,-1742.69549577,-4677.54297799,bad_joke_eel,8034.84163164,-2382.40988089,-5126.40681266,-3596.58198963,3923.72208546,643.746901431,-1251.19195369,328.867971992,485.273978129
29085.9006122,-6606.76293447,-4285.93710933,3568.64850117,10980.4241882,9183.4106478,-4525.91038272,5606.81434597,-5000.01619904,-4158.56857555,872.288326725,7755.2761204,unpopular_opinion_puffin,-7075.77038647,-1645.18877568,6864.15862006,3574.51814034,4316.68623017,-1286.66275733,4095.81806377,1987.6474572,2922.92992561
-18963.08304,-14101.8574715,3499.27711687,-5718.18992532,-2725.63035039,2438.58589183,-3233.35382074,1431.37205049,-5880.78300829,-7192.66314912,-8559.34848729,914.632729515,first_day_on_the_internet_kid,-2391.90149151,6427.85154133,-1031.39800959,-5408.57421171,1068.3317967,-6225.21748676,-917.02748387,-1035.41526351,-995.494967508
-3632.4845106,6461.14632119,28844.6216528,13009.3924346,3166.29855597,-259.710104468,-30.4288465007,5327.75055612,868.450580551,-181.141787107,3167.0345136,92.2365009839,socially_awkward_penguin,2098.3053662,-1497.89162981,132.856717658,-4669.69394957,-812.684988184,2736.94355877,-1203.05217443,-2505.22300602,1308.30307702
-10186.146898,2183.14466782,-2759.78156976,-8819.53351314,8092.12068161,-8693.42276246,-7255.38331238,-6892.09450624,2202.17531928,-4660.26023671,7769.87894372,-5165.5883705,sheltered_college_freshman,-1502.3431047,-1414.25179433,2648.39827071,-951.579014292,1437.17955889,-694.237822116,573.702590477,1447.44654863,1529.51183397
1285.08966926,13224.3567122,-10174.4477232,5142.87285994,-8471.07651406,-11849.0519745,3893.66469851,3961.76666016,-200.068821346,-2417.18162772,950.816507682,-2490.07594835,paranoid_parrot,604.577229634,-646.207501496,222.315885365,1278.1188136,683.769068264,-4929.51505954,1352.5575717,8175.60158747,1727.51638845
-18267.2222046,-12534.7950812,2346.66785495,-4514.75687786,-1278.58329084,2649.65977924,-3608.81449628,1307.34547868,-5317.78554676,-6417.19847252,-8152.34185378,756.141768201,first_day_on_the_internet_kid,-1267.93073898,6236.38912572,-877.703618377,-5237.06983246,95.40753841,-5690.26902934,-1380.65947434,-1126.82002257,-822.489749765
29662.4385615,-3155.36254596,-3923.16912206,4681.93072775,10037.7387167,6263.35335341,-4052.11630208,3492.56850895,-4471.22628283,393.816888431,1694.80724957,8727.65084297,unpopular_opinion_puffin,-4997.85533671,-303.785656323,2802.76839699,2532.5901924,3538.22519753,-2924.73729667,-110.764304552,-940.197278683,5761.12966446
4313.73244171,-213.456889256,4513.61470223,-1078.67417278,-10205.7776009,-765.415715437,-1636.61940481,-4102.32393792,733.645401989,5795.43162251,-516.7792864,3935.01341567,lazy_college_senior,5957.78455601,-2783.21678155,455.681648245,-6126.6837921,228.896803479,-1090.32159807,2794.2260116,4041.09262039,5906.17243218
-17458.2262422,-10249.6311602,-517.013925261,2023.27912103,-2656.56511096,1760.98640816,-3208.30845022,628.940991361,-1305.89487088,-4011.83856707,-1501.46266139,-2980.88492071,minor_mistake_marvin,-438.56079702,-474.241942298,-3663.13874702,5100.64429498,-365.974067572,7977.6778712,1912.31608844,948.476954838,2587.00719881
15962.0513357,1563.76070327,-14755.2118861,8441.25841857,-5444.12971155,-16447.7583247,3857.35129409,16536.8766284,-610.018955449,-1241.78687211,773.326694207,-5199.57776785,paranoid_parrot,-2637.22764331,1332.46526981,-1239.71266613,-3496.51584799,36.6559012938,-458.472331733,-468.916420827,-1114.69985645,1513.36917824
-3863.08763228,12078.5948403,-527.904755877,-2988.55790827,-2398.94712459,958.946280271,-885.94484251,-1398.7883898,-247.048566116,-5366.09734358,-8742.26488314,-5735.20444893,confession_bear,-563.966948298,-6617.08382958,2082.01654481,7524.34299946,-1548.79840536,62.7388558064,778.044443424,-2674.78963661,1868.90634601
