a,b,c,d,e,f,g,h,i,j,k,l,label,m,n,o,p,q,r,s,t,u
-17078.8655582,-8717.51275518,-1063.98171426,-575.002072411,1514.71437989,1819.22055755,-1764.36917915,3558.67207438,-2397.62967135,545.682630295,1315.23792397,-808.759716994,minor_mistake_marvin,-1165.56723355,-703.995646128,-5928.18456403,2550.13324858,507.230225707,6820.80070822,6313.68448858,1273.73987354,-616.707326745
17094.3306114,5291.29390836,-7576.58743112,2440.36243997,-3328.16379924,-1530.88685867,-6888.33607202,1851.21047784,1803.11626319,2064.30950134,-2736.11132227,-446.872007683,good_guy_greg,-598.525191829,2831.4145743,3695.19479579,-2529.01989281,-3269.00711906,2118.9659448,4332.11966767,-3461.87436205,-7656.00045687
30393.3587953,-3799.53707176,-2207.96402297,4524.7103694,9848.74980415,2225.13486375,-1119.07210752,-3219.2695704,-4867.85537182,-4720.34897974,-1674.01487115,-2711.46978696,bad_joke_eel,4598.79217405,-386.23035569,-7088.03056085,226.351575598,-2507.82031746,4580.28693793,-3388.70197089,-1480.03704413,2467.21539487
586.434143484,13322.7204998,-5690.60259486,-3506.08293155,-5268.24702014,1318.55426379,1131.51496377,-1602.52628097,270.148688043,-978.371555228,-2161.7252496,7189.33800789,good_guy_greg,7269.57093221,-1249.53359129,6519.25186047,-6672.63824115,-4073.46499731,3707.36261147,-1922.35941308,1849.3528155,-1200.56806091
6412.49337447,20460.2548313,3226.65260649,-73.8732602141,-7990.82162849,218.705176563,3121.61751724,-7476.29597245,-8882.19626657,7003.25372537,2428.35022107,-3769.26304738,high_expectations_asian_father,-3438.20975323,6146.30340891,-2265.06828139,-950.804935323,-1015.44934423,1717.8076276,3891.46815158,-457.911452303,5355.17506243
-1957.35487054,11864.1953478,20.9799371106,-2051.03994781,-3681.31354797,5233.54373046,4565.25881114,596.160174513,-6075.15584998,2911.26241016,1896.52042713,-37.9253420637,philosoraptor,-1197.78756614,-4294.8138417,-358.671520212,-2504.39248535,5990.05762664,-319.001729936,-6355.99700516,-1685.30815403,-3253.99403956
-8378.68228488,4108.37237382,1970.35632518,-4907.47853504,-1620.67852796,-676.142208466,-1957.76939926,85.7511380778,805.987092772,-1151.26665136,-7100.02016678,-2989.19189771,confession_bear,-4707.91540081,-3656.19308142,-2190.92733132,6432.13379938,-1462.78404993,-752.532173062,-4559.20043131,2221.23101879,-1950.61989032
-2197.90237435,11403.3642576,-8164.78549064,197.828953739,-5471.09856691,17315.0550639,1350.51746115,1094.96275345,15927.4857376,-4834.85294762,4151.29675264,-934.211734327,business_cat,28.9698471137,2229.48492875,-4818.43935722,-547.432076559,-44.8521547654,-3289.17139137,1057.69238021,-458.937132816,29.9984903435
93.1494750336,-14165.7641528,1853.44841345,-2569.70112853,-5163.92181379,-1048.82258074,-6653.51661977,1857.00359034,699.46259939,3650.9748517,3825.0503001,4690.90401679,evil_toddler,-1827.0163729,-6138.69008446,-3982.56167945,-1081.6490886,-3253.15192649,-172.724808437,-707.403101913,2599.27825965,390.774347019
11028.5406592,-17155.7817577,4822.54599478,-2296.32684383,-5867.25056322,-885.179361158,-8148.34730969,-1499.62468039,5252.34427485,6891.4946367,-3701.48915752,4226.0729739,lazy_college_senior,-645.325044747,-6621.2503233,332.046366905,37.8106728287,1916.43981412,3892.74500921,460.016592069,-3090.81045482,4573.65503633
