0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,label
-18518.5929003,-11835.4143942,4723.18580979,-4931.60593006,6881.9332913,-1332.3770408,6317.10817391,-5161.64889095,1569.88103565,-17298.9784583,6492.44364533,-571.834278434,1600.6649424,-5747.15899469,2715.24055133,-2457.30247961,5122.14561002,lazy_college_senior
18868.3768062,-11299.8312796,-8299.22249322,16686.5808851,-2012.34187332,-3035.60211168,-8608.58153314,-8689.33456778,1739.60766,-374.46537185,1084.95186766,2845.47516073,-613.413708828,-1540.14542007,-549.775454277,-721.93262179,810.90226403,advice_god
2912.53357653,11726.694084,168.117716334,-4223.6238804,2491.0202475,439.914104096,-477.605877551,-2266.75196458,194.292034438,6752.68574163,8834.51005369,-4505.78755496,1476.15478309,-7231.01548576,-2517.6743997,6140.88662133,-490.93197932,confession_bear
-2260.49802822,-12406.4132694,1216.12413624,-2374.49282844,5467.10550354,-1599.75396859,6585.1426756,825.369952629,1092.19360206,-4962.93572496,-3514.86375958,3663.21049691,-1910.18488922,-4196.95785391,3432.66139236,-971.065107529,-4094.88272155,evil_toddler
15045.0094385,-2057.71606372,-4784.03720823,-4020.50485119,-10314.30051,4288.8455035,-4219.04779276,6772.52427115,-2557.50057925,-9143.53760942,-1000.75246343,-4913.79967304,4036.61015779,-229.05913234,-2336.34041098,949.21790116,-2842.48986377,college_liberal
2873.69382664,11147.480478,-8166.03824867,63.5764726663,5505.08254906,17101.4987579,-943.946976866,556.296157217,15609.4541238,3546.5199036,-2640.35409313,-1668.26669937,697.719877862,1252.04126994,4802.12542203,-857.129666816,3128.57672421,business_cat
-1563.46134873,-13827.1146026,1095.44680617,-1836.98436353,5072.55028729,-887.717041516,8450.60718633,1676.36725159,1219.19321506,-6330.28035583,-4083.682909,3164.8841602,-2465.96516517,-4748.57357013,4981.05335412,-1482.0841675,-5419.56030391,evil_toddler
-34259.1498325,1913.50352968,-7140.06065743,6203.15147541,-7997.47486944,3275.81962825,3846.31359365,-1080.94551026,1818.71475902,-2971.96677339,1897.17916667,3895.38391886,-2748.47481155,3598.60411611,-6756.2123347,1016.75336377,2948.25532302,unpopular_opinion_puffin
18719.8949071,-10941.9239446,-7556.94228676,16256.8874436,-1906.82062608,-2151.51185092,-8328.99920501,-9526.44522107,2417.59807643,-13.5293357928,1840.74611239,3675.99511229,-3385.40540418,-349.420432254,-948.535218447,-455.136284008,-1699.72392077,advice_god
10176.8334271,-4936.91858174,-561.79481147,3186.35590491,9724.18017882,-4681.34685357,7292.67663739,-1329.83141381,-3708.61685516,1742.04955934,-9132.13162119,8163.3683869,16458.2991649,5066.24765197,1085.70030234,12330.802404,1389.71926361,religion_pigeon
