0,1,2,3,4,5,6,7,8,label
-18518.5929003,-11835.4143942,4723.18580979,-4931.60593006,6881.9332913,-1332.3770408,6317.10817391,-5161.64889095,1569.88103565,lazy_college_senior
18868.3768062,-11299.8312796,-8299.22249322,16686.5808851,-2012.34187332,-3035.60211168,-8608.58153314,-8689.33456778,1739.60766,advice_god
2912.53357653,11726.694084,168.117716334,-4223.6238804,2491.0202475,439.914104096,-477.605877551,-2266.75196458,194.292034438,confession_bear
-2260.49802822,-12406.4132694,1216.12413624,-2374.49282844,5467.10550354,-1599.75396859,6585.1426756,825.369952629,1092.19360206,evil_toddler
15045.0094385,-2057.71606372,-4784.03720823,-4020.50485119,-10314.30051,4288.8455035,-4219.04779276,6772.52427115,-2557.50057925,college_liberal
2873.69382664,11147.480478,-8166.03824867,63.5764726663,5505.08254906,17101.4987579,-943.946976866,556.296157217,15609.4541238,business_cat
-1563.46134873,-13827.1146026,1095.44680617,-1836.98436353,5072.55028729,-887.717041516,8450.60718633,1676.36725159,1219.19321506,evil_toddler
-34259.1498325,1913.50352968,-7140.06065743,6203.15147541,-7997.47486944,3275.81962825,3846.31359365,-1080.94551026,1818.71475902,unpopular_opinion_puffin
18719.8949071,-10941.9239446,-7556.94228676,16256.8874436,-1906.82062608,-2151.51185092,-8328.99920501,-9526.44522107,2417.59807643,advice_god
10176.8334271,-4936.91858174,-561.79481147,3186.35590491,9724.18017882,-4681.34685357,7292.67663739,-1329.83141381,-3708.61685516,religion_pigeon
17078.8742737,-8717.50980375,-1063.55298604,-574.274669533,-1512.84567998,1817.58167589,1752.54278802,3569.05674317,-2395.48323978,minor_mistake_marvin
-17094.3260964,5291.23108564,-7576.23543345,2438.03525485,3329.26832292,-1525.60262181,6881.13784803,1848.80343583,1817.80974383,good_guy_greg
-30393.3500096,-3799.69488012,-2208.73865844,4517.78439759,-9844.04829834,2233.05493602,1124.87606675,-3214.84316551,-4865.4388367,bad_joke_eel
-586.436949899,13322.8006098,-5690.09327755,-3503.21954435,5266.85660951,1315.17052774,-1133.95087867,-1603.67763127,270.046745488,good_guy_greg
-6412.49539359,20460.2879324,3226.66467547,-71.548155199,7989.45337842,215.097377896,-3126.07536305,-7475.44263085,-8886.13324549,high_expectations_asian_father
1957.35701133,11864.136788,20.5815966201,-2053.27432238,3683.509308,5235.13005054,-4563.97809577,600.891639212,-6077.8616135,philosoraptor
8378.67367847,4108.43253866,1970.42676593,-4904.4386542,1618.09300418,-681.053862181,1962.42723571,81.9925458891,790.602755006,confession_bear
2197.90400984,11403.3728025,-8164.77161984,198.12044197,5469.84889809,17316.507753,-1349.64928081,1091.56438768,15927.7293941,business_cat
-93.1518720122,-14165.7802896,1853.41830604,-2570.68602363,5164.59517185,-1048.74350191,6657.33990037,1856.72696154,697.941597665,evil_toddler
-11028.5392364,-17155.8260899,4822.37854636,-2299.5416364,5868.84917,-882.906790783,8155.9946229,-1488.95634746,5262.83016151,lazy_college_senior
2479.23788782,1964.55190503,-1832.96570918,-1738.31219986,4040.26647185,-655.011475447,2249.88697502,-873.262724016,-896.236567323,overly_attached_girlfriend
3011.83156595,11149.7306267,-8217.61304929,1646.59709749,5358.84200635,16292.7291646,647.613089592,1443.93837074,13363.953875,business_cat
