0,1,2,3,label
-18518.5929003,-11835.4143942,4723.18580979,-4931.60593006,lazy_college_senior
18868.3768062,-11299.8312796,-8299.22249322,16686.5808851,advice_god
2912.53357653,11726.694084,168.117716334,-4223.6238804,confession_bear
-2260.49802822,-12406.4132694,1216.12413624,-2374.49282844,evil_toddler
15045.0094385,-2057.71606372,-4784.03720823,-4020.50485119,college_liberal
2873.69382664,11147.480478,-8166.03824867,63.5764726663,business_cat
-1563.46134873,-13827.1146026,1095.44680617,-1836.98436353,evil_toddler
-34259.1498325,1913.50352968,-7140.06065743,6203.15147541,unpopular_opinion_puffin
18719.8949071,-10941.9239446,-7556.94228676,16256.8874436,advice_god
10176.8334271,-4936.91858174,-561.79481147,3186.35590491,religion_pigeon
17078.8742737,-8717.50980375,-1063.55298604,-574.274669533,minor_mistake_marvin
-17094.3260964,5291.23108564,-7576.23543345,2438.03525485,good_guy_greg
-30393.3500096,-3799.69488012,-2208.73865844,4517.78439759,bad_joke_eel
-586.436949899,13322.8006098,-5690.09327755,-3503.21954435,good_guy_greg
-6412.49539359,20460.2879324,3226.66467547,-71.548155199,high_expectations_asian_father
1957.35701133,11864.136788,20.5815966201,-2053.27432238,philosoraptor
8378.67367847,4108.43253866,1970.42676593,-4904.4386542,confession_bear
2197.90400984,11403.3728025,-8164.77161984,198.12044197,business_cat
-93.1518720122,-14165.7802896,1853.41830604,-2570.68602363,evil_toddler
-11028.5392364,-17155.8260899,4822.37854636,-2299.5416364,lazy_college_senior
2479.23788782,1964.55190503,-1832.96570918,-1738.31219986,overly_attached_girlfriend
3011.83156595,11149.7306267,-8217.61304929,1646.59709749,business_cat
20148.1772648,-15057.1272898,2989.6595195,-3272.77610942,first_day_on_the_internet_kid
-11680.7730631,-16776.3748659,4031.31955168,-4200.80363028,lazy_college_senior
-18486.9546307,-13770.1884251,6779.78618512,-8973.19265823,sudden_clarity_clarence
2221.67990913,11572.7568793,31906.2106172,14796.5001201,socially_awkward_penguin
14259.6871206,-4964.74578073,-134.195346452,-7627.69837564,sheltered_college_freshman
3057.79855949,12062.5556057,4809.49132268,-8590.85922066,bad_luck_brian
-15824.4490223,642.494885432,-14624.5162783,6719.95353529,paranoid_parrot
4216.9410457,7287.01728067,28539.7295195,13304.994369,socially_awkward_penguin
13719.6326533,-6037.57287524,-52.2388953803,19.5729281423,overly_attached_girlfriend
8442.82681035,-11507.9420065,5142.74691963,-7711.65065907,minor_mistake_marvin
494.444957459,-6671.40617638,-3060.1948741,3232.46243815,evil_toddler
4479.53266809,8593.94793882,-7049.5407987,1550.03437868,business_cat
11335.5203668,1739.70720501,-3348.55441867,-9383.67762519,sheltered_college_freshman
-2031.34275751,20805.9794462,-129.036115851,-716.72147777,high_expectations_asian_father
3793.92906285,11731.0998633,265.22288029,-2819.87631753,confession_bear
14949.0442031,-1186.90634118,-5245.3714764,-3979.95985061,college_liberal
11302.1621209,1560.59415086,-3459.34197271,-9625.64301203,sheltered_college_freshman
11397.7048892,1544.53229714,-3204.26116519,-9072.93335268,sheltered_college_freshman
4203.3007608,6239.99209475,28865.4626707,12770.5430112,socially_awkward_penguin
-15214.9065934,1153.66694368,-12861.2413092,6852.14174823,paranoid_parrot
-32887.8372963,-5448.94667622,-1922.7315152,3567.16267192,bad_joke_eel
20387.7638352,-15869.2339504,2934.49884329,-2898.09548672,first_day_on_the_internet_kid
-31210.8389087,-4485.28735436,-2958.72254457,3741.89777414,bad_joke_eel
-1365.82921209,14082.5452223,7663.13228079,-6814.83727073,bad_luck_brian
-10583.0604902,24979.9735787,-859.435042604,797.522660073,high_expectations_asian_father
2383.74668533,15444.3156131,2564.32540789,-8015.90579561,bad_luck_brian
14677.4691214,-1700.7124633,-5046.82704211,-4430.70603658,college_liberal
-2500.10165905,18630.0004237,2741.62252684,-1670.86265592,high_expectations_asian_father
18472.806856,-14821.3269923,982.489956297,1098.06855147,overly_attached_girlfriend
19263.2890741,-11493.8085958,-7407.83982508,16017.8296019,advice_god
2778.64124301,11557.0109972,-24.1999753096,-1438.50867861,philosoraptor
2145.15168163,10730.1079069,1406.69230034,-3249.35187546,confession_bear
18118.6625143,-11245.7344263,-291.421917585,-1435.99365596,minor_mistake_marvin
899.526231123,10636.4403636,-191.207799555,-564.593510822,philosoraptor
-7958.30183842,21342.8089622,2839.76632012,906.678777601,high_expectations_asian_father
-32787.26747,-2320.51489509,-4695.08231508,6800.65183383,unpopular_opinion_puffin
-21062.6695507,-9832.86838994,2344.01006324,101.889945493,unpopular_opinion_puffin
11783.4359077,725.090035978,-2652.12839296,-9395.69147049,sheltered_college_freshman
-225.45682646,12736.5186276,-6239.70026853,-955.509401996,good_guy_greg
14638.589812,-1363.23594252,-5264.38196065,-3668.23515999,college_liberal
